year,preset_demand
2010,644.1609011323723
2011,586.3743834314449
2012,583.6417422381023
2013,627.257427597179
2014,559.475255469722
2015,546.7225587581938
2016,531.6583358048267
2017,521.2150456641563
2018,520.2831177914638
2019,513.6894258065703
2020,506.8603296145752
2021,495.73542637579317
2022,450.5619407288159
2023,396.8979441595467
2024,357.2140850941331
2025,322.5095377588098
2026,290.27217958834285
2027,262.0105679694914
2028,238.3449813243397
2029,215.53239084240298
2030,196.71246812727495
2031,180.752233941785
2032,167.48697864282389
2033,156.1186938692028
2034,143.66411355396025
2035,132.244727472242
2036,119.29513130943546
2037,107.79528190308801
2038,96.2954324967403
2039,84.7955830903926
2040,73.2957336840449
2041,61.7958842776972
2042,50.2960348713495
2043,38.79618546500203
2044,27.29633605865433
2045,15.796486652306578
2046,4.2966372459589
2047,0.0
2048,0.0
2049,0.0
2050,0.0
