year,max_demand
2010,1.4314945020276848
2011,1.4530200691064425
2012,1.4745456361852005
2013,1.4960712032639585
2014,1.5175967703427165
2015,1.5391223374214742
2016,1.5768585167447287
2017,1.6145946960679833
2018,1.652330875391238
2019,1.6900670547144925
2020,1.7278032340377472
2021,1.7221339488812017
2022,1.7164646637246563
2023,1.7107953785681111
2024,1.7051260934115657
2025,1.6994568082550208
2026,1.7118583695349636
2027,1.7242599308149062
2028,1.736661492094849
2029,1.749063053374792
2030,1.7614646146547348
2031,1.7762579056100951
2032,1.7910511965654554
2033,1.805844487520816
2034,1.8206377784761762
2035,1.8354310694315366
2036,1.8436692494246412
2037,1.8519074294177462
2038,1.8601456094108508
2039,1.8683837894039559
2040,1.876621969397061
2041,1.895312893897546
2042,1.9140038183980312
2043,1.9326947428985164
2044,1.9513856673990018
2045,1.970076591899487
2046,2.000548999615918
2047,2.0310214073323487
2048,2.0614938150487796
2049,2.091966222765211
2050,2.1224386304816414
