year,max_demand
2010,2.2903912032442957
2011,2.3248321105703083
2012,2.3592730178963213
2013,2.393713925222334
2014,2.4281548325483464
2015,2.462595739874359
2016,2.522973626791566
2017,2.5833515137087737
2018,2.6437294006259813
2019,2.7041072875431884
2020,2.764485174460396
2021,2.755414318209923
2022,2.7463434619594502
2023,2.7372726057089785
2024,2.7282017494585054
2025,2.7191308932080336
2026,2.738973391255942
2027,2.7588158893038504
2028,2.7786583873517587
2029,2.7985008853996676
2030,2.818343383447576
2031,2.8420126489761524
2032,2.865681914504729
2033,2.8893511800333056
2034,2.9130204455618824
2035,2.936689711090459
2036,2.9498707990794264
2037,2.9630518870683944
2038,2.976232975057362
2039,2.98941406304633
2040,3.0025951510352975
2041,3.032500630236074
2042,3.0624061094368504
2043,3.0923115886376267
2044,3.122217067838403
2045,3.1521225470391796
2046,3.200878399385469
2047,3.249634251731758
2048,3.298390104078048
2049,3.3471459564243378
2050,3.3959018087706268
