year,max_demand
2010,2.32134243572057
2011,2.3562487607131506
2012,2.391155085705731
2013,2.426061410698311
2014,2.460967735690892
2015,2.4958740606834717
2016,2.557067864991452
2017,2.6182616692994327
2018,2.679455473607413
2019,2.7406492779153933
2020,2.801843082223374
2021,2.7926496468343815
2022,2.783456211445389
2023,2.7742627760563967
2024,2.7650693406674045
2025,2.7558759052784123
2026,2.775986545191833
2027,2.796097185105254
2028,2.8162078250186746
2029,2.8363184649320954
2030,2.856429104845516
2031,2.8804182253136683
2032,2.90440734578182
2033,2.928396466249972
2034,2.952385586718124
2035,2.976374707186276
2036,2.9897339179859053
2037,3.003093128785535
2038,3.016452339585164
2039,3.0298115503847938
2040,3.0431707611844234
2041,3.0734803684825076
2042,3.103789975780592
2043,3.134099583078676
2044,3.1644091903767597
2045,3.194718797674844
2046,3.244133512890678
2047,3.293548228106512
2048,3.342962943322346
2049,3.39237765853818
2050,3.4417923737540135
