year,preset_demand
2010,439.1210922982766
2011,399.72832765152816
2012,397.8655005479731
2013,427.59808345163475
2014,381.391333848181
2015,372.69788769230485
2016,362.42868627651137
2017,355.3095504120131
2018,354.6742600914107
2019,350.1793750066517
2020,345.524016114227
2021,337.9402281920806
2022,307.145701040013
2023,270.5632373276649
2024,243.51095969208967
2025,219.8530526275428
2026,197.8770154173657
2027,178.61122368371085
2028,162.47851795874325
2029,146.9272952239086
2030,134.09785306883762
2031,123.21784551707778
2032,114.1749908727561
2033,106.42529104065699
2034,97.93506926139061
2035,90.1505339368081
2036,81.32286246243429
2037,73.4834757134033
2038,65.64408896437213
2039,57.80470221534096
2040,49.965315466309804
2041,42.12592871727864
2042,34.286541968247484
2043,26.447155219216487
2044,18.607768470185327
2045,10.768381721154132
2046,2.9289949721229873
2047,0.0
2048,0.0
2049,0.0
2050,0.0
