year,preset_demand
2010,886.9896167140487
2011,807.4193709933257
2012,803.6566086765831
2013,863.7140570118678
2014,770.3801046256085
2015,752.8200360956118
2016,732.07706749877
2017,717.6969803143053
2018,716.4137444874311
2019,707.334434774392
2020,697.9309807566258
2021,682.6123334397804
2022,620.4098423397872
2023,546.5161805781917
2024,491.87273531430066
2025,444.0856481361123
2026,399.69580405021674
2027,360.7804398710813
2028,328.19365978120646
2029,296.78142899809427
2030,270.866978111158
2031,248.89022978947582
2032,230.6243839541328
2033,214.97060779925533
2034,197.82103631683282
2035,182.09689524287532
2036,164.2657022647577
2037,148.43076568404567
2038,132.59582910333333
2039,116.76089252262098
2040,100.92595594190864
2041,85.0910193611963
2042,69.25608278048395
2043,53.42114619977195
2044,37.5862096190596
2045,21.75127303834719
2046,5.916336457634879
2047,0.0
2048,0.0
2049,0.0
2050,0.0
