year,preset_demand
2010,134.71045460943145
2011,122.62582163015006
2012,122.05435674180848
2013,131.17550767241386
2014,117.00052871039814
2015,114.33361494943216
2016,111.18330216450747
2017,108.99934415029882
2018,108.80445429099053
2019,107.42554532076565
2020,105.99740733384652
2021,103.67090665653468
2022,94.22398000032271
2023,83.0014712120725
2024,74.70256532386814
2025,67.44496036781193
2026,60.70330751847473
2027,54.793084556357506
2028,49.84400750128776
2029,45.07331367426678
2030,41.13758839163544
2031,37.79989683193222
2032,35.02579401275784
2033,32.64839605629716
2034,30.04382602839473
2035,27.65574148659053
2036,24.947651034292587
2037,22.542739561482282
2038,20.137828088671924
2039,17.73291661586157
2040,15.328005143051213
2041,12.923093670240858
2042,10.518182197430502
2043,8.113270724620197
2044,5.708359251809841
2045,3.303447778999474
2046,0.8985363061891235
2047,0.0
2048,0.0
2049,0.0
2050,0.0
