year,preset_demand
2010,48.985619857975074
2011,44.59120786550911
2012,44.38340245156672
2013,47.700184608150494
2014,42.545646803781146
2015,41.5758599816117
2016,40.43029169618453
2017,39.636125145563206
2018,39.56525610581474
2019,39.0638346620966
2020,38.54451175776237
2021,37.69851151146716
2022,34.26326545466281
2023,30.182353168026363
2024,27.164569208679325
2025,24.525440133749793
2026,22.073930006718086
2027,19.92475802049364
2028,18.125093636831913
2029,16.390295881551555
2030,14.959123051503797
2031,13.745417029793536
2032,12.73665236827558
2033,11.872144020471694
2034,10.925027646688992
2035,10.056633267851101
2036,9.071873103379122
2037,8.197359840539011
2038,7.322846577698882
2039,6.448333314858752
2040,5.573820052018624
2041,4.699306789178494
2042,3.8247935263383646
2043,2.9502802634982532
2044,2.075767000658124
2045,1.2012537378179906
2046,0.3267404749778631
2047,0.0
2048,0.0
2049,0.0
2050,0.0
