year,preset_demand
2010,33.59013933118291
2011,30.57682825063482
2012,30.43433310964575
2013,32.708698017017475
2014,29.17415780830707
2015,28.50916113024802
2016,27.723628591669396
2017,27.179057242671913
2018,27.130461329701536
2019,26.786629482580526
2020,26.430522348179913
2021,25.85040789357748
2022,23.494810597483067
2023,20.696470743789504
2024,18.62713317166582
2025,16.817444663142716
2026,15.13640914746383
2027,13.662691214052781
2028,12.428635636684742
2029,11.239060033063923
2030,10.257684378174032
2031,9.425428820429852
2032,8.733704481103254
2033,8.140898756894876
2034,7.491447529158166
2035,6.895977097955041
2036,6.220712985174255
2037,5.62104674779818
2038,5.02138051042209
2039,4.4217142730460015
2040,3.822048035669913
2041,3.2223817982938243
2042,2.6227155609177357
2043,2.0230493235416596
2044,1.4233830861655707
2045,0.8237168487894793
2046,0.22405061141339183
2047,0.0
2048,0.0
2049,0.0
2050,0.0
