year,max_demand
2010,21.76645423893988
2011,22.093759212953643
2012,22.421064186967403
2013,22.748369160981166
2014,23.07567413499493
2015,23.402979109008687
2016,23.976773014069853
2017,24.550566919131015
2018,25.12436082419218
2019,25.69815472925334
2020,26.271948634314505
2021,26.185744855150386
2022,26.099541075986263
2023,26.013337296822147
2024,25.927133517658028
2025,25.840929738493912
2026,26.02950050541542
2027,26.218071272336932
2028,26.40664203925844
2029,26.595212806179948
2030,26.783783573101456
2031,27.008721559357827
2032,27.2336595456142
2033,27.45859753187057
2034,27.68353551812694
2035,27.908473504383313
2036,28.03373837098117
2037,28.159003237579032
2038,28.28426810417689
2039,28.409532970774748
2040,28.53479783737261
2041,28.819000921804314
2042,29.103204006236016
2043,29.387407090667715
2044,29.671610175099417
2045,29.95581325953112
2046,30.419158572538258
2047,30.882503885545393
2048,31.34584919855253
2049,31.809194511559667
2050,32.2725398245668
