year,max_demand
2010,2.2981290113633643
2011,2.332686273106019
2012,2.3672435348486736
2013,2.401800796591328
2014,2.436358058333983
2015,2.470915320076637
2016,2.5314971863415376
2017,2.5920790526064383
2018,2.652660918871339
2019,2.7132427851362393
2020,2.7738246514011404
2021,2.764723150366038
2022,2.755621649330935
2023,2.746520148295833
2024,2.7374186472607303
2025,2.728317146225628
2026,2.748226679739915
2027,2.768136213254201
2028,2.788045746768488
2029,2.8079552802827745
2030,2.827864813797061
2031,2.8516140430605312
2032,2.8753632723240017
2033,2.899112501587472
2034,2.9228617308509426
2035,2.946610960114413
2036,2.959836578806046
2037,2.9730621974976796
2038,2.9862878161893125
2039,2.999513434880946
2040,3.012739053572579
2041,3.0427455647976824
2042,3.0727520760227858
2043,3.102758587247889
2044,3.1327650984729924
2045,3.1627716096980953
2046,3.2116921777617713
2047,3.260612745825447
2048,3.3095333138891223
2049,3.3584538819527983
2050,3.4073744500164733
