year,preset_demand
2010,250.1765585603727
2011,227.73366874170725
2012,226.67237680621574
2013,243.61165710591143
2014,217.2866961764537
2015,212.33385633465974
2016,206.48327544837102
2017,202.42735342198353
2018,202.06541511183954
2019,199.50458416713622
2020,196.85232790571496
2021,192.53168379070726
2022,174.98739142917077
2023,154.14558939384892
2024,138.7333356014694
2025,125.25492639736501
2026,112.73471396288164
2027,101.75858560466395
2028,92.56744250239156
2029,83.70758253792401
2030,76.39837844160867
2031,70.19980840215985
2032,65.04790316655028
2033,60.632735533123295
2034,55.79567690987592
2035,51.36066276081098
2036,46.331351920829086
2037,41.86508775703852
2038,37.39882359324786
2039,32.9325594294572
2040,28.46629526566654
2041,24.00003110187588
2042,19.53376693808522
2043,15.06750277429465
2044,10.601238610503989
2045,6.13497444671331
2046,1.6687102829226579
2047,0.0
2048,0.0
2049,0.0
2050,0.0
