year,preset_demand
2010,301.9613566959464
2011,274.8729456281026
2012,273.5919736835863
2013,294.0375665488134
2014,262.2635227975938
2015,256.2854797437921
2016,249.22386952719467
2017,244.32840000443608
2018,243.89154299512944
2019,240.8006379527812
2020,237.59938319249235
2021,232.38439595997258
2022,211.20855776695717
2023,186.05264845719108
2024,167.45016590778755
2025,151.18182025304336
2026,136.07001139855507
2027,122.82190122632865
2028,111.72825577561387
2029,101.03446675556424
2030,92.21230852462698
2031,84.73067783365588
2032,78.51236424158446
2033,73.18328778333624
2034,67.34499185066143
2035,61.99196078682501
2036,55.92161777297274
2037,50.530868159894055
2038,45.14011854681525
2039,39.74936893373645
2040,34.35861932065766
2041,28.96786970757886
2042,23.57712009450006
2043,18.186370481421378
2044,12.795620868342578
2045,7.404871255263757
2046,2.0141216421849704
2047,0.0
2048,0.0
2049,0.0
2050,0.0
