year,preset_demand
2010,1950.6773622015075
2011,1775.685598930095
2012,1767.4104904820317
2013,1899.4894942174212
2014,1694.228435221999
2015,1655.6101385534657
2016,1609.9919729016342
2017,1578.3671263322492
2018,1575.5450199279796
2019,1555.5777017227754
2020,1534.897521782323
2021,1501.2085834030672
2022,1364.412177926751
2023,1201.9044207981926
2024,1081.7319524170516
2025,976.6380624689649
2026,879.015427053238
2027,793.432328316086
2028,721.7671216095566
2029,652.6849967117852
2030,595.693650086669
2031,547.3621424364211
2032,507.19169252240255
2033,472.7657351009264
2034,435.0502080735081
2035,400.4695033447849
2036,361.25494679527577
2037,326.4305793643214
2038,291.6062119333662
2039,256.781844502411
2040,221.95747707145588
2041,187.13310964050072
2042,152.30874220954558
2043,117.48437477859116
2044,82.66000734763601
2045,47.8356399166807
2046,13.01127248572562
2047,0.0
2048,0.0
2049,0.0
2050,0.0
