year,preset_demand
2010,245.97779114397486
2011,223.9115652103779
2012,222.86808516751
2013,239.52306985378425
2014,213.63992645041532
2015,208.7702111933787
2016,203.01782187441233
2017,199.02997126664954
2018,198.67410744562687
2019,196.15625548181364
2020,193.54851261219247
2021,189.3003828040101
2022,172.05054010448538
2023,151.55853055087525
2024,136.40494395501116
2025,123.15274581447217
2026,110.84266281944866
2027,100.05074920290734
2028,91.01386304780597
2029,82.30270003379103
2030,75.11616789433693
2031,69.0216297996061
2032,63.95619010641237
2033,59.61512318851144
2034,54.85924596873115
2035,50.4986656235666
2036,45.5537627976823
2037,41.16245691356375
2038,36.7711510294451
2039,32.37984514532645
2040,27.9885392612078
2041,23.59723337708915
2042,19.2059274929705
2043,14.814621608851944
2044,10.423315724733293
2045,6.0320098406146245
2046,1.640703956495984
2047,0.0
2048,0.0
2049,0.0
2050,0.0
