year,preset_demand
2010,41.98767416397864
2011,38.22103531329353
2012,38.04291638705719
2013,40.88587252127185
2014,36.46769726038384
2015,35.636451412810025
2016,34.65453573958675
2017,33.973821553339896
2018,33.91307666212692
2019,33.48328685322566
2020,33.03815293522489
2021,32.31300986697185
2022,29.368513246853837
2023,25.870588429736884
2024,23.28391646458228
2025,21.021805828928393
2026,18.92051143432979
2027,17.078364017565978
2028,15.535794545855929
2029,14.048825041329906
2030,12.82210547271754
2031,11.781786025537317
2032,10.91713060137907
2033,10.176123446118597
2034,9.364309411447708
2035,8.619971372443802
2036,7.77589123146782
2037,7.026308434747725
2038,6.276725638027614
2039,5.527142841307502
2040,4.777560044587392
2041,4.02797724786728
2042,3.27839445114717
2043,2.5288116544270745
2044,1.7792288577069635
2045,1.0296460609868492
2046,0.28006326426673983
2047,0.0
2048,0.0
2049,0.0
2050,0.0
