year,max_demand
2010,0.9517503986454338
2011,0.9660619918923917
2012,0.9803735851393497
2013,0.9946851783863077
2014,1.0089967716332657
2015,1.0233083648802235
2016,1.0483978246464956
2017,1.0734872844127674
2018,1.0985767441790395
2019,1.1236662039453114
2020,1.1487556637115834
2021,1.1449863552020965
2022,1.1412170466926095
2023,1.1374477381831227
2024,1.1336784296736357
2025,1.129909121164149
2026,1.1381544835286517
2027,1.1463998458931541
2028,1.1546452082576566
2029,1.162890570622159
2030,1.1711359329866617
2031,1.180971472378604
2032,1.1908070117705463
2033,1.2006425511624885
2034,1.2104780905544308
2035,1.2203136299463733
2036,1.2257909063742212
2037,1.2312681828020693
2038,1.2367454592299172
2039,1.2422227356577655
2040,1.2477000120856137
2041,1.2601269510778281
2042,1.2725538900700426
2043,1.284980829062257
2044,1.2974077680544716
2045,1.309834707046686
2046,1.3300947402851782
2047,1.3503547735236698
2048,1.3706148067621617
2049,1.3908748400006539
2050,1.4111348732391455
