year,preset_demand
2010,286.2159788844544
2011,260.54005738561756
2012,259.32588003843983
2013,278.70536435333645
2014,248.58813632494983
2015,242.92181046398835
2016,236.22841862484964
2017,231.58821692193362
2018,231.17413924683183
2019,228.24440538282158
2020,225.210075841783
2021,220.26701725985814
2022,200.19536529938696
2023,176.35117779603976
2024,158.7186972335692
2025,143.29864306719523
2026,128.97481961068138
2027,116.41751471974142
2028,105.9023328209179
2029,95.76615736506552
2030,87.4040189723579
2031,80.31250807407937
2032,74.41844026606732
2033,69.36724149104177
2034,63.83337582136854
2035,58.759471522158584
2036,53.005658561172304
2037,47.89600249686366
2038,42.7863464325549
2039,37.67669036824614
2040,32.56703430393738
2041,27.45737823962863
2042,22.347722175319873
2043,17.238066111011225
2044,12.128410046702468
2045,7.018753982393688
2046,1.909097918084943
2047,0.0
2048,0.0
2049,0.0
2050,0.0
