year,max_demand
2010,10.678175204314622
2011,10.838744299280492
2012,10.999313394246363
2013,11.159882489212231
2014,11.320451584178102
2015,11.48102067914397
2016,11.76251217896068
2017,12.04400367877739
2018,12.325495178594101
2019,12.60698667841081
2020,12.88847817822752
2021,12.846188375438155
2022,12.803898572648789
2023,12.761608769859425
2024,12.719318967070059
2025,12.677029164280697
2026,12.76953810788243
2027,12.862047051484167
2028,12.954555995085903
2029,13.047064938687639
2030,13.139573882289374
2031,13.249923836442873
2032,13.360273790596372
2033,13.47062374474987
2034,13.58097369890337
2035,13.69132365305687
2036,13.752776022735164
2037,13.81422839241346
2038,13.875680762091754
2039,13.93713313177005
2040,13.998585501448348
2041,14.138009695019534
2042,14.277433888590721
2043,14.416858082161909
2044,14.556282275733095
2045,14.695706469304282
2046,14.92301415929712
2047,15.150321849289954
2048,15.37762953928279
2049,15.604937229275627
2050,15.832244919268462
