year,preset_demand
2010,179.49730705100868
2011,163.39492596432981
2012,162.63346755466947
2013,174.78710502843717
2014,155.8994057881409
2015,152.34582978976286
2016,148.14814028673334
2017,145.23808714052805
2018,144.9784027305926
2019,143.1410512975397
2020,141.2381037980864
2021,138.13811718130466
2022,125.55039413030015
2023,110.59676553712518
2024,99.53874288608924
2025,89.86821991866888
2026,80.88518638175984
2027,73.01000617509456
2028,66.4155216835341
2029,60.058727051685345
2030,54.81450089586748
2031,50.36713525917203
2032,46.670733320895515
2033,43.502927732157
2034,40.03242273393895
2035,36.85037761719725
2036,33.24193501452493
2037,30.03746855854652
2038,26.833002102568045
2039,23.62853564658957
2040,20.4240691906111
2041,17.219602734632623
2042,14.01513627865415
2043,10.810669822675743
2044,7.606203366697269
2045,4.40173691071878
2046,1.1972704547403126
2047,0.0
2048,0.0
2049,0.0
2050,0.0
