year,max_demand
2010,9.440125905263653
2011,9.582078293566813
2012,9.724030681869973
2013,9.865983070173133
2014,10.007935458476293
2015,10.149887846779453
2016,10.39874265096524
2017,10.647597455151027
2018,10.896452259336815
2019,11.1453070635226
2020,11.39416186770839
2021,11.356775230459819
2022,11.319388593211249
2023,11.28200195596268
2024,11.24461531871411
2025,11.207228681465544
2026,11.289011950446788
2027,11.370795219428032
2028,11.452578488409277
2029,11.53436175739052
2030,11.616145026371766
2031,11.71370078294225
2032,11.811256539512735
2033,11.90881229608322
2034,12.006368052653704
2035,12.10392380922419
2036,12.158251266476015
2037,12.212578723727841
2038,12.266906180979667
2039,12.321233638231494
2040,12.375561095483322
2041,12.498820165162197
2042,12.622079234841072
2043,12.745338304519949
2044,12.868597374198824
2045,12.9918564438777
2046,13.192809619088758
2047,13.393762794299814
2048,13.594715969510874
2049,13.795669144721932
2050,13.996622319932989
