year,preset_demand
2010,66.830381377666
2011,60.83514787365886
2012,60.55164191606602
2013,65.07668042969102
2014,58.044418139444275
2015,56.72135183205596
2016,55.1584693855089
2017,54.07499930573266
2018,53.97831368721868
2019,53.2942315747175
2020,52.58572675523295
2021,51.43154070493019
2022,46.74488358457568
2023,41.17735325066454
2024,37.060233706126795
2025,33.45970761104436
2026,30.115147366308243
2027,27.18306272795918
2028,24.727806318820683
2029,22.361046524116766
2030,20.40851787740875
2031,18.752676090646894
2032,17.37643287386168
2033,16.1969964850721
2034,14.904859146554267
2035,13.720121101139718
2036,12.376626876752946
2037,11.183540925306794
2038,9.990454973860617
2039,8.79736902241444
2040,7.604283070968265
2041,6.411197119522088
2042,5.218111168075911
2043,4.02502521662976
2044,2.8319392651835833
2045,1.6388533137374015
2046,0.4457673622912275
2047,0.0
2048,0.0
2049,0.0
2050,0.0
