etm_sector,etm_subsector,use,ghg,unit,value
Agriculture,Non-specified,energetic,other_ghg,kton CO2-eq,0.51454
Agriculture,Non-specified,non_energetic,co2,kton CO2-eq,0.22587
Agriculture,Non-specified,non_energetic,other_ghg,kton CO2-eq,495.23036
Buildings,Non-specified,energetic,other_ghg,kton CO2-eq,1.68654
Energy,CCUS,non_energetic,co2,kton CO2-eq,0.0
Energy,Electricity and heat production,energetic,other_ghg,kton CO2-eq,10.28705
Energy,Fuels production,energetic,other_ghg,kton CO2-eq,0.17673
Energy,Fugitive emissions,non_energetic,co2,kton CO2-eq,0.0
Energy,Fugitive emissions,non_energetic,other_ghg,kton CO2-eq,0.0
Energy,Hydrogen production,non_energetic,other_ghg,kton CO2-eq,0.0
Energy,Methanol production,non_energetic,other_ghg,kton CO2-eq,0.0
Households,Non-specified,energetic,other_ghg,kton CO2-eq,10.36792
Industry,Aluminium,non_energetic,co2,kton CO2-eq,0.0
Industry,Aluminium,non_energetic,other_ghg,kton CO2-eq,0.0
Industry,Chemicals,non_energetic,co2,kton CO2-eq,0.0
Industry,Chemicals,non_energetic,other_ghg,kton CO2-eq,0.0
Industry,Fertilizers,non_energetic,other_ghg,kton CO2-eq,0.0
Industry,Food,non_energetic,co2,kton CO2-eq,0.0
Industry,Food,non_energetic,other_ghg,kton CO2-eq,0.0
Industry,Non-specified,energetic,other_ghg,kton CO2-eq,6.20707
Industry,Other,non_energetic,co2,kton CO2-eq,819.36754
Industry,Other,non_energetic,other_ghg,kton CO2-eq,353.65649
Industry,Other metals,non_energetic,co2,kton CO2-eq,0.0
Industry,Other metals,non_energetic,other_ghg,kton CO2-eq,0.0
Industry,Paper,non_energetic,co2,kton CO2-eq,0.0
Industry,Paper,non_energetic,other_ghg,kton CO2-eq,0.0
Industry,Refineries,energetic,other_ghg,kton CO2-eq,0.0
Industry,Refineries,non_energetic,other_ghg,kton CO2-eq,0.0
Industry,Steel,non_energetic,co2,kton CO2-eq,0.0
Industry,Steel,non_energetic,other_ghg,kton CO2-eq,0.0
Bunkers,International aviation,energetic,other_ghg,kton CO2-eq,7.81438
Bunkers,International navigation,energetic,other_ghg,kton CO2-eq,10.663
LULUCF,Emissions,non_energetic,co2,kton CO2-eq,0.0
LULUCF,Emissions,non_energetic,other_ghg,kton CO2-eq,1.71572
LULUCF,Removals,non_energetic,co2,kton CO2-eq,298.75689
Transport,Non-specified,energetic,other_ghg,kton CO2-eq,14.59073
Other,Indirect emissions,non_energetic,co2,kton CO2-eq,4.9672
Other,Non-specified,energetic,other_ghg,kton CO2-eq,0.14148
Other,Other transportation,energetic,other_ghg,kton CO2-eq,0.0
Waste,Non-specified,non_energetic,co2,kton CO2-eq,0.0
Waste,Non-specified,non_energetic,other_ghg,kton CO2-eq,656.42427
