etm_sector,etm_subsector,use,ghg,year,unit,value
Agriculture,Non-specified,energetic,co2,1990,kton CO2-eq,10146.98751
Agriculture,Non-specified,energetic,other_ghg,1990,kton CO2-eq,324.09507
Agriculture,Non-specified,energetic,other_ghg,2019,kton CO2-eq,245.22991
Agriculture,Non-specified,non_energetic,co2,1990,kton CO2-eq,3192.02902
Agriculture,Non-specified,non_energetic,co2,2019,kton CO2-eq,2730.80358
Agriculture,Non-specified,non_energetic,other_ghg,1990,kton CO2-eq,69439.99842
Agriculture,Non-specified,non_energetic,other_ghg,2019,kton CO2-eq,55794.20352
Buildings,Non-specified,energetic,co2,1990,kton CO2-eq,64110.77517
Buildings,Non-specified,energetic,other_ghg,1990,kton CO2-eq,1768.22279
Buildings,Non-specified,energetic,other_ghg,2019,kton CO2-eq,178.35372
Bunkers,International aviation,energetic,co2,1990,kton CO2-eq,12072.65384
Bunkers,International aviation,energetic,other_ghg,1990,kton CO2-eq,106.73177
Bunkers,International aviation,energetic,other_ghg,2019,kton CO2-eq,253.74532
Bunkers,International navigation,energetic,co2,1990,kton CO2-eq,6917.3937
Bunkers,International navigation,energetic,other_ghg,1990,kton CO2-eq,84.0628
Bunkers,International navigation,energetic,other_ghg,2019,kton CO2-eq,43.88243
Energy,CCUS,non_energetic,co2,1990,kton CO2-eq,0.0
Energy,CCUS,non_energetic,co2,2019,kton CO2-eq,0.0
Energy,Electricity and heat production,energetic,co2,1990,kton CO2-eq,338451.15956
Energy,Electricity and heat production,energetic,other_ghg,1990,kton CO2-eq,2333.68915
Energy,Electricity and heat production,energetic,other_ghg,2019,kton CO2-eq,4075.69769
Energy,Fuels production,energetic,co2,1990,kton CO2-eq,65289.05725
Energy,Fuels production,energetic,other_ghg,1990,kton CO2-eq,689.2488
Energy,Fuels production,energetic,other_ghg,2019,kton CO2-eq,289.4041
Energy,Fugitive emissions,non_energetic,co2,1990,kton CO2-eq,3363.48209
Energy,Fugitive emissions,non_energetic,co2,2019,kton CO2-eq,1608.33747
Energy,Fugitive emissions,non_energetic,other_ghg,1990,kton CO2-eq,38458.77887
Energy,Fugitive emissions,non_energetic,other_ghg,2019,kton CO2-eq,2575.6488
Energy,Hydrogen production,non_energetic,co2,1990,kton CO2-eq,0.0
Energy,Hydrogen production,non_energetic,other_ghg,1990,kton CO2-eq,0.0
