etm_sector,etm_subsector,use,ghg,year,unit,value
Agriculture,Non-specified,energetic,co2,1990,kton CO2-eq,162.95032
Agriculture,Non-specified,energetic,other_ghg,1990,kton CO2-eq,0.0
Agriculture,Non-specified,energetic,other_ghg,2023,kton CO2-eq,31.58628
Agriculture,Non-specified,non_energetic,co2,1990,kton CO2-eq,4.07898
Agriculture,Non-specified,non_energetic,co2,2023,kton CO2-eq,2.462
Agriculture,Non-specified,non_energetic,other_ghg,1990,kton CO2-eq,0.0
Agriculture,Non-specified,non_energetic,other_ghg,2023,kton CO2-eq,386.32795
Buildings,Non-specified,energetic,co2,1990,kton CO2-eq,94.67214
Buildings,Non-specified,energetic,other_ghg,1990,kton CO2-eq,0.62549
Buildings,Non-specified,energetic,other_ghg,2023,kton CO2-eq,0.55456
Bunkers,International aviation,energetic,co2,1990,kton CO2-eq,4604.35501
Bunkers,International aviation,energetic,other_ghg,1990,kton CO2-eq,35.03174
Bunkers,International aviation,energetic,other_ghg,2023,kton CO2-eq,77.41099
Bunkers,International navigation,energetic,co2,1990,kton CO2-eq,34944.30987
Bunkers,International navigation,energetic,other_ghg,1990,kton CO2-eq,328.83136
Bunkers,International navigation,energetic,other_ghg,2023,kton CO2-eq,474.73962
Energy,CCUS,non_energetic,co2,1990,kton CO2-eq,0.0
Energy,CCUS,non_energetic,co2,2023,kton CO2-eq,0.0
Energy,Electricity and heat production,energetic,co2,1990,kton CO2-eq,0.71056
Energy,Electricity and heat production,energetic,other_ghg,1990,kton CO2-eq,0.1075
Energy,Electricity and heat production,energetic,other_ghg,2023,kton CO2-eq,0.46601
Energy,Fuels production,energetic,co2,1990,kton CO2-eq,0.0
Energy,Fuels production,energetic,other_ghg,1990,kton CO2-eq,0.0
Energy,Fuels production,energetic,other_ghg,2023,kton CO2-eq,0.0002
Energy,Fugitive emissions,non_energetic,co2,1990,kton CO2-eq,0.00408
Energy,Fugitive emissions,non_energetic,co2,2023,kton CO2-eq,0.01201
Energy,Fugitive emissions,non_energetic,other_ghg,1990,kton CO2-eq,3.88476
Energy,Fugitive emissions,non_energetic,other_ghg,2023,kton CO2-eq,3.70478
Energy,Hydrogen production,non_energetic,co2,1990,kton CO2-eq,0.0
Energy,Hydrogen production,non_energetic,other_ghg,1990,kton CO2-eq,0.0
Energy,Hydrogen production,non_energetic,other_ghg,2023,kton CO2-eq,0.0
Energy,Methanol production,non_energetic,co2,1990,kton CO2-eq,0.0
Energy,Methanol production,non_energetic,other_ghg,1990,kton CO2-eq,0.0
Energy,Methanol production,non_energetic,other_ghg,2023,kton CO2-eq,0.0
Households,Non-specified,energetic,co2,1990,kton CO2-eq,324.20889
Households,Non-specified,energetic,other_ghg,1990,kton CO2-eq,7.6507
Households,Non-specified,energetic,other_ghg,2023,kton CO2-eq,5.4389
Industry,Aluminium,non_energetic,co2,1990,kton CO2-eq,0.0
Industry,Aluminium,non_energetic,co2,2023,kton CO2-eq,0.0
Industry,Aluminium,non_energetic,other_ghg,1990,kton CO2-eq,5.97326
Industry,Aluminium,non_energetic,other_ghg,2023,kton CO2-eq,0.0
Industry,Chemicals,non_energetic,co2,1990,kton CO2-eq,0.11803
Industry,Chemicals,non_energetic,co2,2023,kton CO2-eq,0.0
Industry,Chemicals,non_energetic,other_ghg,1990,kton CO2-eq,0.05047
Industry,Chemicals,non_energetic,other_ghg,2023,kton CO2-eq,0.00892
Industry,Fertilizers,non_energetic,co2,1990,kton CO2-eq,0.0
Industry,Fertilizers,non_energetic,other_ghg,1990,kton CO2-eq,51.15275
Industry,Fertilizers,non_energetic,other_ghg,2023,kton CO2-eq,0.0
Industry,Food,non_energetic,co2,1990,kton CO2-eq,0.0
Industry,Food,non_energetic,co2,2023,kton CO2-eq,0.0
Industry,Food,non_energetic,other_ghg,1990,kton CO2-eq,0.0
Industry,Food,non_energetic,other_ghg,2023,kton CO2-eq,0.0
Industry,Non-specified,energetic,co2,1990,kton CO2-eq,86.62781
Industry,Non-specified,energetic,other_ghg,1990,kton CO2-eq,2.08872
Industry,Non-specified,energetic,other_ghg,2023,kton CO2-eq,1.55334
Industry,Other,non_energetic,co2,1990,kton CO2-eq,289.87042
Industry,Other,non_energetic,co2,2023,kton CO2-eq,87.95994
Industry,Other,non_energetic,other_ghg,1990,kton CO2-eq,1.78846
Industry,Other,non_energetic,other_ghg,2023,kton CO2-eq,13.84945
Industry,Other metals,non_energetic,co2,1990,kton CO2-eq,0.0
Industry,Other metals,non_energetic,co2,2023,kton CO2-eq,0.0
Industry,Other metals,non_energetic,other_ghg,1990,kton CO2-eq,0.0
Industry,Other metals,non_energetic,other_ghg,2023,kton CO2-eq,0.0
Industry,Paper,non_energetic,co2,1990,kton CO2-eq,0.0
Industry,Paper,non_energetic,co2,2023,kton CO2-eq,0.0
Industry,Paper,non_energetic,other_ghg,1990,kton CO2-eq,0.0
Industry,Paper,non_energetic,other_ghg,2023,kton CO2-eq,0.0
Industry,Refineries,energetic,co2,1990,kton CO2-eq,0.0
Industry,Refineries,energetic,other_ghg,1990,kton CO2-eq,0.0
Industry,Refineries,energetic,other_ghg,2023,kton CO2-eq,0.0
Industry,Refineries,non_energetic,co2,1990,kton CO2-eq,0.0
Industry,Refineries,non_energetic,other_ghg,1990,kton CO2-eq,0.0
Industry,Refineries,non_energetic,other_ghg,2023,kton CO2-eq,0.0
Industry,Steel,non_energetic,co2,1990,kton CO2-eq,0.00107
Industry,Steel,non_energetic,co2,2023,kton CO2-eq,0.0
Industry,Steel,non_energetic,other_ghg,1990,kton CO2-eq,0.0
Industry,Steel,non_energetic,other_ghg,2023,kton CO2-eq,0.0
LULUCF,Emissions,non_energetic,co2,1990,kton CO2-eq,0.0
LULUCF,Emissions,non_energetic,co2,2023,kton CO2-eq,0.0
LULUCF,Emissions,non_energetic,other_ghg,1990,kton CO2-eq,0.0
LULUCF,Emissions,non_energetic,other_ghg,2023,kton CO2-eq,0.0
LULUCF,Removals,non_energetic,co2,1990,kton CO2-eq,0.0
LULUCF,Removals,non_energetic,co2,2023,kton CO2-eq,0.0
Other,Indirect emissions,non_energetic,co2,1990,kton CO2-eq,12.23581
Other,Indirect emissions,non_energetic,co2,2023,kton CO2-eq,6.2011
Other,Non-specified,energetic,co2,1990,kton CO2-eq,0.0
Other,Non-specified,energetic,other_ghg,1990,kton CO2-eq,0.0
Other,Non-specified,energetic,other_ghg,2023,kton CO2-eq,0.0
Other,Other transportation,energetic,co2,1990,kton CO2-eq,4.56634
Other,Other transportation,energetic,other_ghg,1990,kton CO2-eq,3.85501
Other,Other transportation,energetic,other_ghg,2023,kton CO2-eq,0.71021
Transport,Non-specified,energetic,co2,1990,kton CO2-eq,640.22892
Transport,Non-specified,energetic,other_ghg,1990,kton CO2-eq,6.00681
Transport,Non-specified,energetic,other_ghg,2023,kton CO2-eq,10.22481
Waste,Non-specified,non_energetic,co2,1990,kton CO2-eq,39.99976
Waste,Non-specified,non_energetic,co2,2023,kton CO2-eq,10.88166
Waste,Non-specified,non_energetic,other_ghg,1990,kton CO2-eq,404.65675
Waste,Non-specified,non_energetic,other_ghg,2023,kton CO2-eq,22.39929
