year,max_demand
2010,23.360442711468
2011,23.711716695310002
2012,24.062990679152
2013,24.414264662994004
2014,24.765538646836006
2015,25.116812630678
2016,25.732626281363977
2017,26.348439932049956
2018,26.96425358273593
2019,27.580067233421907
2020,28.195880884107886
2021,28.10336427930999
2022,28.010847674512096
2023,27.918331069714206
2024,27.82581446491631
2025,27.73329786011842
2026,27.93567793311381
2027,28.1380580061092
2028,28.340438079104594
2029,28.542818152099983
2030,28.745198225095375
2031,28.986608740739875
2032,29.22801925638438
2033,29.46942977202888
2034,29.710840287673385
2035,29.952250803317888
2036,30.086688994664822
2037,30.221127186011763
2038,30.355565377358698
2039,30.49000356870564
2040,30.624441760052576
2041,30.929457441495632
2042,31.234473122938684
2043,31.539488804381737
2044,31.84450448582479
2045,32.149520167267845
2046,32.64679691805652
2047,33.144073668845195
2048,33.64135041963387
2049,34.138627170422545
2050,34.63590392121122
