year,preset_demand
2010,34834.024178290776
2011,31709.12642179114
2012,31561.35450761232
2013,33919.94199046016
2014,30254.51333964594
2015,29564.891003352517
2016,28750.269212954652
2017,28185.53170618961
2018,28135.136225817045
2019,27778.571855607337
2020,27409.27762888595
2021,26807.680810886523
2022,24364.852802421112
2023,21462.886926020463
2024,19316.919196929073
2025,17440.215660824717
2026,15696.929298705849
2027,14168.637748073173
2028,12888.883550105724
2029,11655.256474913323
2030,10637.53925280329
2031,9774.464231436395
2032,9057.124475169108
2033,8442.36641398614
2034,7768.865195472305
2035,7151.343749863689
2036,6451.07376290649
2037,5829.201135177581
2038,5207.3285074486585
2039,4585.455879719736
2040,3963.5832519908145
2041,3341.7106242618925
2042,2719.8379965329705
2043,2097.9653688040617
2044,1476.0927410751394
2045,854.2201133462147
2046,232.347485617294
2047,0.0
2048,0.0
2049,0.0
2050,0.0
