year,preset_demand
2010,27894.16143355451
2011,25391.826301758945
2012,25273.494477438217
2013,27162.18869390261
2014,24227.010777458832
2015,23674.779525671904
2016,23022.452030796627
2017,22570.225233781748
2018,22529.869871511837
2019,22244.342593550024
2020,21948.621584575532
2021,21466.878830040525
2022,19510.727037936955
2023,17186.909835058785
2024,15468.475870608032
2025,13965.661520733338
2026,12569.684100468376
2027,11345.868815369811
2028,10321.075641584837
2029,9333.219842665512
2030,8518.25891992096
2031,7827.131364515504
2032,7252.7047389378395
2033,6760.422810400171
2034,6221.100921583523
2035,5726.60614818827
2036,5165.848540532051
2037,4667.869456054362
2038,4169.890371576662
2039,3671.9112870989616
2040,3173.932202621262
2041,2675.9531181435623
2042,2177.974033665863
2043,1679.9949491881735
2044,1182.0158647104736
2045,684.0367802327717
2046,186.05769575507304
2047,0.0
2048,0.0
2049,0.0
2050,0.0
