year,preset_demand
2010,17185.205138031757
2011,15643.55124510343
2012,15570.64865291928
2013,16734.246907352222
2014,14925.924591197934
2015,14585.702592834703
2016,14183.812690415025
2017,13905.202046602408
2018,13880.339668836363
2019,13704.430281634819
2020,13522.240678446422
2021,13225.445663469354
2022,12020.287734326885
2023,10588.616256054393
2024,9529.912976316322
2025,8604.049944065151
2026,7744.007659142562
2027,6990.032072689608
2028,6358.6712426642825
2029,5750.06701587432
2030,5247.98091910435
2031,4822.1868387022105
2032,4468.290579056108
2033,4165.002525467624
2034,3832.733806193785
2035,3528.0824496464775
2036,3182.607481946183
2037,2875.8094897719543
2038,2569.0114975977185
2039,2262.2135054234827
2040,1955.4155132492476
2041,1648.6175210750123
2042,1341.819528900777
2043,1035.021536726548
2044,728.2235445523125
2045,421.4255523780758
2046,114.62756020384104
2047,0.0
2048,0.0
2049,0.0
2050,0.0
