year,preset_demand
2010,2513.6620932835212
2011,2288.165980755839
2012,2277.5025943718238
2013,2447.700901606808
2014,1996.6537359217834
2015,1545.6065702367591
2016,1341.0398401594946
2017,1136.4731100822303
2018,931.9063800049657
2019,727.3396499277013
2020,522.7729198504368
2021,406.23118612581715
2022,286.35968858049404
2023,126.53102518672993
2024,109.88220608321284
2025,86.5738593382889
2026,49.94645731055129
2027,26.638110565627354
2028,23.308346744923934
2029,23.308346744923934
2030,0.0
2031,0.0
2032,0.0
2033,0.0
2034,0.0
2035,0.0
2036,0.0
2037,0.0
2038,0.0
2039,0.0
2040,0.0
2041,0.0
2042,0.0
2043,0.0
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
