year,max_demand
2010,42.4650909574483
2011,43.10364399597923
2012,43.74219703451017
2013,44.380750073041106
2014,45.01930311157204
2015,45.65785615010298
2016,46.77729481024363
2017,47.896733470384284
2018,49.01617213052494
2019,50.135610790665595
2020,51.255049450806254
2021,51.086870872756954
2022,50.91869229470765
2023,50.750513716658354
2024,50.58233513860905
2025,50.41415656055975
2026,50.7820472000426
2027,51.14993783952544
2028,51.51782847900829
2029,51.88571911849113
2030,52.253609757973976
2031,52.69245073507137
2032,53.13129171216876
2033,53.57013268926615
2034,54.008973666363545
2035,54.44781464346094
2036,54.692199139688825
2037,54.93658363591671
2038,55.1809681321446
2039,55.42535262837249
2040,55.66973712460038
2041,56.22420087410667
2042,56.778664623612954
2043,57.33312837311924
2044,57.88759212262553
2045,58.44205587213181
2046,59.34601572914681
2047,60.24997558616179
2048,61.15393544317678
2049,62.057895300191774
2050,62.961855157206756
