year,max_demand
2010,76.27157462965886
2011,77.41848011449841
2012,78.56538559933796
2013,79.71229108417751
2014,80.85919656901706
2015,82.00610205385661
2016,84.01672648406914
2017,86.02735091428168
2018,88.03797534449424
2019,90.04859977470677
2020,92.05922420491932
2021,91.75715856282166
2022,91.45509292072398
2023,91.15302727862634
2024,90.85096163652868
2025,90.54889599443102
2026,91.20966458651965
2027,91.87043317860828
2028,92.53120177069691
2029,93.19197036278554
2030,93.85273895487417
2031,94.64094148972275
2032,95.42914402457133
2033,96.21734655941991
2034,97.00554909426849
2035,97.79375162911707
2036,98.23269076529022
2037,98.67162990146338
2038,99.11056903763652
2039,99.5495081738097
2040,99.98844730998286
2041,100.98431997377358
2042,101.9801926375643
2043,102.97606530135502
2044,103.97193796514573
2045,104.96781062893645
2046,106.59141345521138
2047,108.21501628148629
2048,109.8386191077612
2049,111.46222193403612
2050,113.08582476031103
