year,preset_demand
2010,9782.078388352924
2011,8904.54570211456
2012,8863.048445274648
2013,9525.38615064331
2014,8496.061769237926
2015,8302.402267899417
2016,8073.640463930223
2017,7915.051076389363
2018,7900.89903535902
2019,7800.768754630248
2020,7697.063680084019
2021,7528.123473757768
2022,6842.129373685772
2023,6027.200339417951
2024,5424.570438336056
2025,4897.555212994593
2026,4408.006151412982
2027,3978.8318569924336
2028,3619.451734320785
2029,3273.0250140038347
2030,2987.230022506369
2031,2744.8615992995565
2032,2543.4185018562885
2033,2370.78235985948
2034,2181.64998513203
2035,2008.2378304950948
2036,1811.5882596512154
2037,1636.9542075853512
2038,1462.3201555194833
2039,1287.6861034536153
2040,1113.0520513877475
2041,938.4179993218797
2042,763.7839472560119
2043,589.1498951901476
2044,414.5158431242798
2045,239.88179105841118
2046,65.2477389925437
2047,0.0
2048,0.0
2049,0.0
2050,0.0
