etm_sector,etm_subsector,use,ghg,year,unit,value
Agriculture,Non-specified,energetic,co2,1990,kton CO2-eq,0.80069
Agriculture,Non-specified,energetic,other_ghg,1990,kton CO2-eq,0.0
Agriculture,Non-specified,energetic,other_ghg,2023,kton CO2-eq,0.50539
Agriculture,Non-specified,non_energetic,co2,1990,kton CO2-eq,0.18082
Agriculture,Non-specified,non_energetic,co2,2023,kton CO2-eq,0.24795
Agriculture,Non-specified,non_energetic,other_ghg,1990,kton CO2-eq,0.0
Agriculture,Non-specified,non_energetic,other_ghg,2023,kton CO2-eq,36.60235
Buildings,Non-specified,energetic,co2,1990,kton CO2-eq,589.42645
Buildings,Non-specified,energetic,other_ghg,1990,kton CO2-eq,3.46467
Buildings,Non-specified,energetic,other_ghg,2023,kton CO2-eq,2.63903
Bunkers,International aviation,energetic,co2,1990,kton CO2-eq,4604.35501
Bunkers,International aviation,energetic,other_ghg,1990,kton CO2-eq,35.03174
Bunkers,International aviation,energetic,other_ghg,2023,kton CO2-eq,77.41099
Bunkers,International navigation,energetic,co2,1990,kton CO2-eq,34944.30987
Bunkers,International navigation,energetic,other_ghg,1990,kton CO2-eq,328.83136
Bunkers,International navigation,energetic,other_ghg,2023,kton CO2-eq,474.73962
Energy,CCUS,non_energetic,co2,1990,kton CO2-eq,0.0
Energy,CCUS,non_energetic,co2,2023,kton CO2-eq,0.0
Energy,Electricity and heat production,energetic,co2,1990,kton CO2-eq,1350.07058
Energy,Electricity and heat production,energetic,other_ghg,1990,kton CO2-eq,2.02448
Energy,Electricity and heat production,energetic,other_ghg,2023,kton CO2-eq,15.20116
Energy,Fuels production,energetic,co2,1990,kton CO2-eq,11.7025
Energy,Fuels production,energetic,other_ghg,1990,kton CO2-eq,0.04152
Energy,Fuels production,energetic,other_ghg,2023,kton CO2-eq,0.0
Energy,Fugitive emissions,non_energetic,co2,1990,kton CO2-eq,0.01466
Energy,Fugitive emissions,non_energetic,co2,2023,kton CO2-eq,0.01457
Energy,Fugitive emissions,non_energetic,other_ghg,1990,kton CO2-eq,14.13086
Energy,Fugitive emissions,non_energetic,other_ghg,2023,kton CO2-eq,13.31177
Energy,Hydrogen production,non_energetic,co2,1990,kton CO2-eq,0.0
Energy,Hydrogen production,non_energetic,other_ghg,1990,kton CO2-eq,0.0
Energy,Hydrogen production,non_energetic,other_ghg,2023,kton CO2-eq,0.0
Energy,Methanol production,non_energetic,co2,1990,kton CO2-eq,0.0
Energy,Methanol production,non_energetic,other_ghg,1990,kton CO2-eq,0.0
Energy,Methanol production,non_energetic,other_ghg,2023,kton CO2-eq,0.0
Households,Non-specified,energetic,co2,1990,kton CO2-eq,938.67515
Households,Non-specified,energetic,other_ghg,1990,kton CO2-eq,21.1902
Households,Non-specified,energetic,other_ghg,2023,kton CO2-eq,12.13909
Industry,Aluminium,non_energetic,co2,1990,kton CO2-eq,0.0
Industry,Aluminium,non_energetic,co2,2023,kton CO2-eq,0.0
Industry,Aluminium,non_energetic,other_ghg,1990,kton CO2-eq,1.49332
Industry,Aluminium,non_energetic,other_ghg,2023,kton CO2-eq,0.0
Industry,Chemicals,non_energetic,co2,1990,kton CO2-eq,28.17912
Industry,Chemicals,non_energetic,co2,2023,kton CO2-eq,12.18611
Industry,Chemicals,non_energetic,other_ghg,1990,kton CO2-eq,0.95715
Industry,Chemicals,non_energetic,other_ghg,2023,kton CO2-eq,1.53552
Industry,Fertilizers,non_energetic,co2,1990,kton CO2-eq,0.0
Industry,Fertilizers,non_energetic,other_ghg,1990,kton CO2-eq,0.04742
Industry,Fertilizers,non_energetic,other_ghg,2023,kton CO2-eq,0.03976
Industry,Food,non_energetic,co2,1990,kton CO2-eq,0.0
Industry,Food,non_energetic,co2,2023,kton CO2-eq,0.0
Industry,Food,non_energetic,other_ghg,1990,kton CO2-eq,0.0
Industry,Food,non_energetic,other_ghg,2023,kton CO2-eq,0.0
Industry,Non-specified,energetic,co2,1990,kton CO2-eq,353.15223
Industry,Non-specified,energetic,other_ghg,1990,kton CO2-eq,3.27474
Industry,Non-specified,energetic,other_ghg,2023,kton CO2-eq,1.14364
Industry,Other,non_energetic,co2,1990,kton CO2-eq,19.66709
Industry,Other,non_energetic,co2,2023,kton CO2-eq,26.22153
Industry,Other,non_energetic,other_ghg,1990,kton CO2-eq,15.71474
Industry,Other,non_energetic,other_ghg,2023,kton CO2-eq,31.09323
Industry,Other metals,non_energetic,co2,1990,kton CO2-eq,0.0
Industry,Other metals,non_energetic,co2,2023,kton CO2-eq,0.0
Industry,Other metals,non_energetic,other_ghg,1990,kton CO2-eq,0.0
Industry,Other metals,non_energetic,other_ghg,2023,kton CO2-eq,0.0
Industry,Paper,non_energetic,co2,1990,kton CO2-eq,0.0
Industry,Paper,non_energetic,co2,2023,kton CO2-eq,0.0
Industry,Paper,non_energetic,other_ghg,1990,kton CO2-eq,0.0
Industry,Paper,non_energetic,other_ghg,2023,kton CO2-eq,0.0
Industry,Refineries,energetic,co2,1990,kton CO2-eq,39.80325
Industry,Refineries,energetic,other_ghg,1990,kton CO2-eq,0.09503
Industry,Refineries,energetic,other_ghg,2023,kton CO2-eq,0.0
Industry,Refineries,non_energetic,co2,1990,kton CO2-eq,0.0
Industry,Refineries,non_energetic,other_ghg,1990,kton CO2-eq,0.0
Industry,Refineries,non_energetic,other_ghg,2023,kton CO2-eq,0.0
Industry,Steel,non_energetic,co2,1990,kton CO2-eq,0.00027
Industry,Steel,non_energetic,co2,2023,kton CO2-eq,0.0
