year,max_demand
2010,66.87013776499055
2011,67.87567263361015
2012,68.88120750222974
2013,69.88674237084935
2014,70.89227723946895
2015,71.89781210808854
2016,73.66060163085376
2017,75.42339115361898
2018,77.18618067638421
2019,78.94897019914943
2020,80.71175972191466
2021,80.44692749314241
2022,80.18209526437016
2023,79.91726303559793
2024,79.65243080682568
2025,79.38759857805346
2026,79.96691907849272
2027,80.546239578932
2028,81.12556007937128
2029,81.70488057981055
2030,82.28420108024983
2031,82.97524767720239
2032,83.66629427415495
2033,84.35734087110751
2034,85.04838746806008
2035,85.73943406501265
2036,86.1242683974473
2037,86.50910272988196
2038,86.89393706231661
2039,87.27877139475127
2040,87.66360572718594
2041,88.53672448141943
2042,89.4098432356529
2043,90.28296198988637
2044,91.15608074411985
2045,92.02919949835332
2046,93.45267272800412
2047,94.8761459576549
2048,96.2996191873057
2049,97.72309241695649
2050,99.14656564660727
