year,preset_demand
2010,6505.29031713909
2011,5921.71240453961
2012,5894.11584556806
2013,6334.584515962385
2014,5650.061895542135
2015,5521.274205558033
2016,5369.142737253306
2017,5263.677419330794
2018,5254.266010852197
2019,5187.677243126428
2020,5118.711161430842
2021,5006.362328722838
2022,4550.161652379221
2023,4008.216500713901
2024,3607.454790912614
2025,3256.978449761972
2026,2931.4179048921615
2027,2646.0078651215554
2028,2407.0124349712783
2029,2176.6312930700465
2030,1986.5715412397042
2031,1825.3913815565816
2032,1691.4274345069969
2033,1576.620725918641
2034,1450.843671480298
2035,1335.5208979706263
2036,1204.7447481287475
2037,1088.6093868235807
2038,972.4740255184115
2039,856.3386642132422
2040,740.2033029080732
2041,624.0679416029039
2042,507.9325802977348
2043,391.797218992568
2044,275.6618576873988
2045,159.52649638222914
2046,43.39113507706022
2047,0.0
2048,0.0
2049,0.0
2050,0.0
