year,preset_demand
2010,6438.809833046124
2011,5861.1957652935625
2012,5833.881227955219
2013,6269.848551137038
2014,5592.321374879862
2015,5464.849824154418
2016,5314.273055665627
2017,5209.885535204673
2018,5200.570306137163
2019,5134.662038942154
2020,5066.400752616737
2021,4955.200063100134
2022,4503.661506405036
2023,3967.254735700151
2024,3570.5885898436923
2025,3223.6939238661694
2026,2901.460428454473
2027,2618.9671220937425
2028,2382.4140936070066
2029,2154.387320087941
2030,1966.2698742412347
2031,1806.7368870161474
2032,1674.14197772148
2033,1560.5085304622867
2034,1436.016848245506
2035,1321.872609964257
2036,1192.43292034559
2037,1077.4843984685635
2038,962.5358765915345
2039,847.5873547145054
2040,732.6388328374765
2041,617.6903109604475
2042,502.74178908341844
2043,387.7932672063918
2044,272.8447453293628
2045,157.89622345233332
2046,42.94770157530455
2047,0.0
2048,0.0
2049,0.0
2050,0.0
