year,preset_demand
2010,3157.4730971311938
2011,2874.2218555596733
2012,2860.8273123067006
2013,3074.617613599643
2014,2742.3708339808645
2015,2679.861146243314
2016,2606.021087616923
2017,2554.83138081116
2018,2550.2633649919444
2019,2517.9431713625695
2020,2484.4691007289116
2021,2429.9383419962833
2022,2208.512196163408
2023,1945.4682499162136
2024,1750.9505181365873
2025,1580.8397983354153
2026,1422.8224598616
2027,1284.2929741209614
2028,1168.2917498483657
2029,1056.471643108009
2030,964.222331548359
2031,885.9903091204062
2032,820.9682212237059
2033,765.2444831481184
2034,704.1960677408676
2035,648.2218472077739
2036,584.74702060638
2037,528.3783942930289
2038,472.0097679796765
2039,415.64114166632413
2040,359.2725153529718
2041,302.9038890396195
2042,246.53526272626715
2043,190.16663641291598
2044,133.79801009956364
2045,77.42938378621106
2046,21.060757472858832
2047,0.0
2048,0.0
2049,0.0
2050,0.0
