year,preset_demand
2010,3295.682524587623
2011,3000.0327634659307
2012,2986.0519120807635
2013,3209.200277315496
2014,2617.8287219720596
2015,2026.4571666286238
2016,1758.2480866456401
2017,1490.039006662657
2018,1221.829926679673
2019,953.6208466966897
2020,685.411766713706
2021,532.61296521702
2022,375.44848367757146
2023,165.89584162497343
2024,144.06744141116113
2025,113.50768111182393
2026,65.48520064143688
2027,34.92544034209967
2028,30.559760299337213
2029,30.559760299337213
2030,0.0
2031,0.0
2032,0.0
2033,0.0
2034,0.0
2035,0.0
2036,0.0
2037,0.0
2038,0.0
2039,0.0
2040,0.0
2041,0.0
2042,0.0
2043,0.0
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
