year,preset_demand
2010,960.8179437857112
2011,874.6246914192002
2012,870.5487366571587
2013,935.6050495284376
2014,834.5024723084501
2015,815.4807964964695
2016,793.0112928408768
2017,777.4342832122612
2018,776.0442376183377
2019,766.2092141579805
2020,756.0230663343963
2021,739.4293757892059
2022,672.0494781321719
2023,592.0052985671457
2024,532.8136217645244
2025,481.0489900519781
2026,432.96436998891335
2027,390.80989660196815
2028,355.51076519100314
2029,321.4839463624327
2030,293.4125135673531
2031,269.60653688437895
2032,249.820338594891
2033,232.86362485868054
2034,214.2866136986284
2035,197.25367823942233
2036,177.93831101342195
2037,160.78535801514377
2038,143.63240501686522
2039,126.47945201858667
2040,109.32649902030815
2041,92.17354602202961
2042,75.02059302375106
2043,57.86764002547289
2044,40.714687027194344
2045,23.561734028915733
2046,6.408781030637229
2047,0.0
2048,0.0
2049,0.0
2050,0.0
