year,preset_demand
2010,3342.5687607373993
2011,3042.712919565776
2012,3028.533168712978
2013,3254.8561682975833
2014,2903.1325994037234
2015,2836.9585028881183
2016,2758.789832668935
2017,2704.599310825467
2018,2699.7635112774874
2019,2665.548660907206
2020,2630.1122915850283
2021,2572.384860493184
2022,2337.9783920599557
2023,2059.5144272439707
2024,1853.5937832179543
2025,1673.5109256979413
2026,1506.2303811012705
2027,1359.5800954983981
2028,1236.7787108046807
2029,1118.4035468318716
2030,1020.7464465072555
2031,937.9283491829832
2032,869.0945719581186
2033,810.1042273397579
2034,745.4770650629996
2035,686.221554341297
2036,619.025741118434
2037,559.3527039762084
2038,499.67966683398157
2039,440.0066296917547
2040,380.3335925495279
2041,320.6605554073011
2042,260.98751826507424
2043,201.3144811228487
2044,141.64144398062186
2045,81.96840683839476
2046,22.295369696168045
2047,0.0
2048,0.0
2049,0.0
2050,0.0
