year,max_demand
2010,81.40174141260131
2011,82.62578987567447
2012,83.84983833874762
2013,85.07388680182078
2014,86.29793526489392
2015,87.52198372796707
2016,89.66784646570025
2017,91.81370920343343
2018,93.95957194116662
2019,96.10543467889978
2020,98.25129741663298
2021,97.92891428232564
2022,97.60653114801829
2023,97.28414801371098
2024,96.96176487940363
2025,96.63938174509632
2026,97.3445948513936
2027,98.04980795769089
2028,98.75502106398818
2029,99.46023417028546
2030,100.16544727658275
2031,101.00666576766595
2032,101.84788425874915
2033,102.68910274983234
2034,103.53032124091554
2035,104.37153973199874
2036,104.84000272403905
2037,105.30846571607941
2038,105.77692870811974
2039,106.24539170016008
2040,106.71385469220043
2041,107.77671158811992
2042,108.8395684840394
2043,109.90242537995888
2044,110.96528227587837
2045,112.02813917179785
2046,113.76094851869976
2047,115.49375786560167
2048,117.22656721250358
2049,118.9593765594055
2050,120.6921859063074
