year,preset_demand
2010,2338.71345093361
2011,2128.9116669504497
2012,2118.9904427590855
2013,2277.343099434842
2014,2031.2507374033798
2015,1984.9503436935186
2016,1930.2576406949818
2017,1892.341860521032
2018,1888.9583700804694
2019,1865.0190777246692
2020,1840.2251184920265
2021,1799.8346495903322
2022,1635.8261878497585
2023,1440.9917755363444
2024,1296.9141470772329
2025,1170.9145846713116
2026,1053.8724868921693
2027,951.264875778425
2028,865.3437562041752
2029,782.5195548020757
2030,714.191274830367
2031,656.2454816224285
2032,608.0841744968141
2033,566.8100759488058
2034,521.5920342176373
2035,480.1324054451198
2036,433.11714159275755
2037,391.36537981544825
2038,349.61361803813804
2039,307.86185626082784
2040,266.1100944835177
2041,224.35833270620753
2042,182.60657092889736
2043,140.85480915158803
2044,99.10304737427786
2045,57.3512855969675
2046,15.599523819657406
2047,0.0
2048,0.0
2049,0.0
2050,0.0
