year,preset_demand
2010,11460.88556034267
2011,10432.75009739108
2012,10384.131052150486
2013,11160.139620285496
2014,9954.16186469894
2015,9727.266383554937
2016,9459.244317918032
2017,9273.437708163736
2018,9256.856883899727
2019,9139.542173978387
2020,9018.03916161076
2021,8820.105318272192
2022,8016.380428339145
2023,7061.592700133597
2024,6355.539031644938
2025,5738.077082721246
2026,5164.511266928935
2027,4661.68177829478
2028,4240.624586245925
2029,3834.743868573009
2030,3499.900539657192
2031,3215.9366772206236
2032,2979.9217737347617
2033,2777.6576956467884
2034,2556.0662897664142
2035,2352.8930192033063
2036,2122.494310722737
2037,1917.889439834681
2038,1713.2845689466205
2039,1508.6796980585602
2040,1304.0748271705002
2041,1099.4699562824399
2042,894.8650853943795
2043,690.2602145063236
2044,485.65534361826326
2045,281.05047273020205
2046,76.44560184214218
2047,0.0
2048,0.0
2049,0.0
2050,0.0
