etm_sector,etm_subsector,use,ghg,year,unit,value
Agriculture,Non-specified,energetic,co2,1990,kton CO2-eq,11.93002
Agriculture,Non-specified,energetic,other_ghg,1990,kton CO2-eq,0.0
Agriculture,Non-specified,energetic,other_ghg,2023,kton CO2-eq,0.2022
Agriculture,Non-specified,non_energetic,co2,1990,kton CO2-eq,0.90918
Agriculture,Non-specified,non_energetic,co2,2023,kton CO2-eq,0.59292
Agriculture,Non-specified,non_energetic,other_ghg,1990,kton CO2-eq,0.0
Agriculture,Non-specified,non_energetic,other_ghg,2023,kton CO2-eq,78.53364
Buildings,Non-specified,energetic,co2,1990,kton CO2-eq,32.63101
Buildings,Non-specified,energetic,other_ghg,1990,kton CO2-eq,0.6253
Buildings,Non-specified,energetic,other_ghg,2023,kton CO2-eq,0.03693
Bunkers,International aviation,energetic,co2,1990,kton CO2-eq,4604.35501
Bunkers,International aviation,energetic,other_ghg,1990,kton CO2-eq,35.03174
Bunkers,International aviation,energetic,other_ghg,2023,kton CO2-eq,77.41099
Bunkers,International navigation,energetic,co2,1990,kton CO2-eq,34944.30987
Bunkers,International navigation,energetic,other_ghg,1990,kton CO2-eq,328.83136
Bunkers,International navigation,energetic,other_ghg,2023,kton CO2-eq,474.73962
Energy,CCUS,non_energetic,co2,1990,kton CO2-eq,0.0
Energy,CCUS,non_energetic,co2,2023,kton CO2-eq,0.0
Energy,Electricity and heat production,energetic,co2,1990,kton CO2-eq,0.01692
Energy,Electricity and heat production,energetic,other_ghg,1990,kton CO2-eq,0.00256
Energy,Electricity and heat production,energetic,other_ghg,2023,kton CO2-eq,0.0
Energy,Fuels production,energetic,co2,1990,kton CO2-eq,0.0
Energy,Fuels production,energetic,other_ghg,1990,kton CO2-eq,0.0
Energy,Fuels production,energetic,other_ghg,2023,kton CO2-eq,6e-05
Energy,Fugitive emissions,non_energetic,co2,1990,kton CO2-eq,0.00063
Energy,Fugitive emissions,non_energetic,co2,2023,kton CO2-eq,0.00278
Energy,Fugitive emissions,non_energetic,other_ghg,1990,kton CO2-eq,0.59547
Energy,Fugitive emissions,non_energetic,other_ghg,2023,kton CO2-eq,0.46913
