year,max_demand
2010,88.99253117740759
2011,90.33072332320647
2012,91.66891546900536
2013,93.00710761480426
2014,94.34529976060314
2015,95.68349190640203
2016,98.0294583842223
2017,100.37542486204258
2018,102.72139133986286
2019,105.06735781768312
2020,107.41332429550341
2021,107.06087862747407
2022,106.70843295944472
2023,106.35598729141539
2024,106.00354162338604
2025,105.65109595535672
2026,106.4220708541709
2027,107.19304575298507
2028,107.96402065179925
2029,108.73499555061342
2030,109.5059704494276
2031,110.42563336444165
2032,111.3452962794557
2033,112.26495919446975
2034,113.1846221094838
2035,114.10428502449786
2036,114.61643263585297
2037,115.1285802472081
2038,115.64072785856322
2039,116.15287546991836
2040,116.6650230812735
2041,117.82699239305772
2042,118.98896170484194
2043,120.15093101662616
2044,121.31290032841038
2045,122.4748696401946
2046,124.36926510585228
2047,126.26366057150996
2048,128.15805603716765
2049,130.05245150282533
2050,131.94684696848302
