year,max_demand
2010,213.26172956964876
2011,216.46857364671712
2012,219.6754177237855
2013,222.88226180085385
2014,226.0891058779222
2015,229.29594995499056
2016,234.9178247567647
2017,240.53969955853887
2018,246.16157436031304
2019,251.78344916208718
2020,257.40532396386135
2021,256.5607230546746
2022,255.71612214548787
2023,254.87152123630116
2024,254.02692032711442
2025,253.18231941792772
2026,255.02988390677368
2027,256.87744839561964
2028,258.7250128844656
2029,260.57257737331156
2030,262.42014186215755
2031,264.62402235956665
2032,266.8279028569758
2033,269.0317833543849
2034,271.235663851794
2035,273.4395443492032
2036,274.6668550453651
2037,275.89416574152705
2038,277.121476437689
2039,278.348787133851
2040,279.57609783001294
2041,282.3606414524879
2042,285.1451850749629
2043,287.92972869743795
2044,290.71427231991294
2045,293.4988159423879
2046,298.0385458292666
2047,302.57827571614524
2048,307.1180056030239
2049,311.65773548990256
2050,316.1974653767812
