year,preset_demand
2010,4142.783850845892
2011,3771.1421509116276
2012,3753.567750189642
2013,4034.0727554321556
2014,3598.146129691205
2015,3516.129872730589
2016,3419.247526305892
2017,3352.0837265962027
2018,3346.0902306631892
2019,3303.684302851598
2020,3259.764422942189
2021,3188.2169735412226
2022,2897.6933070229115
2023,2552.5647250673724
2024,2297.3464245054515
2025,2074.151508454268
2026,1866.8237948538722
2027,1685.0652497331764
2028,1532.8650618577847
2029,1386.1507374112173
2030,1265.1144066414638
2031,1162.4695545196819
2032,1077.1568860027346
2033,1004.0441800170347
2034,923.9451952628405
2035,850.5038420811217
2036,767.2212681714915
2037,693.2624322284421
2038,619.3035962853911
2039,545.3447603423401
2040,471.38592439928925
2041,397.4270884562383
2042,323.4682525131874
2043,249.50941657013797
2044,175.55058062708704
2045,101.59174468403577
2046,27.63290874098499
2047,0.0
2048,0.0
2049,0.0
2050,0.0
