year,max_demand
2010,215.68366351091723
2011,218.92692652039452
2012,222.17018952987178
2013,225.41345253934907
2014,228.65671554882636
2015,231.89997855830364
2016,237.58569889590578
2017,243.27141923350794
2018,248.9571395711101
2019,254.64285990871224
2020,260.3285802463144
2021,259.4743875195385
2022,258.62019479276256
2023,257.76600206598664
2024,256.9118093392107
2025,256.05761661243486
2026,257.92616320225716
2027,259.79470979207946
2028,261.66325638190176
2029,263.53180297172406
2030,265.40034956154636
2031,267.62925870797727
2032,269.8581678544081
2033,272.08707700083903
2034,274.31598614726994
2035,276.54489529370085
2036,277.786144099797
2037,279.0273929058933
2038,280.2686417119895
2039,281.5098905180858
2040,282.751139324182
2041,285.5673059702714
2042,288.3834726163607
2043,291.19963926245
2044,294.01580590853933
2045,296.83197255462863
2046,301.42325846104916
2047,306.0145443674697
2048,310.6058302738902
2049,315.19711618031073
2050,319.7884020867312
