etm_sector,etm_subsector,use,ghg,unit,value
Agriculture,Non-specified,energetic,other_ghg,kton CO2-eq,18.54937
Agriculture,Non-specified,non_energetic,co2,kton CO2-eq,67.49972
Agriculture,Non-specified,non_energetic,other_ghg,kton CO2-eq,4219.46902
Buildings,Non-specified,energetic,other_ghg,kton CO2-eq,12.23112
Energy,CCUS,non_energetic,co2,kton CO2-eq,0.0
Energy,Electricity and heat production,energetic,other_ghg,kton CO2-eq,56.64535
Energy,Fuels production,energetic,other_ghg,kton CO2-eq,0.07694
Energy,Fugitive emissions,non_energetic,co2,kton CO2-eq,233.94169
Energy,Fugitive emissions,non_energetic,other_ghg,kton CO2-eq,328.3957
Energy,Hydrogen production,non_energetic,other_ghg,kton CO2-eq,0.0
Energy,Methanol production,non_energetic,other_ghg,kton CO2-eq,0.0
Households,Non-specified,energetic,other_ghg,kton CO2-eq,179.83734
Industry,Aluminium,non_energetic,co2,kton CO2-eq,0.0
Industry,Aluminium,non_energetic,other_ghg,kton CO2-eq,0.0
Industry,Chemicals,non_energetic,co2,kton CO2-eq,0.0
Industry,Chemicals,non_energetic,other_ghg,kton CO2-eq,0.0
Industry,Fertilizers,non_energetic,other_ghg,kton CO2-eq,159.47223
Industry,Non-specified,energetic,other_ghg,kton CO2-eq,18.44015
Industry,Other,non_energetic,co2,kton CO2-eq,619.80945
Industry,Other,non_energetic,other_ghg,kton CO2-eq,541.99469
Industry,Other metals,non_energetic,co2,kton CO2-eq,0.0
Industry,Other metals,non_energetic,other_ghg,kton CO2-eq,0.0
Industry,Refineries,energetic,other_ghg,kton CO2-eq,2.04053
Industry,Steel,non_energetic,co2,kton CO2-eq,1.50895
Industry,Steel,non_energetic,other_ghg,kton CO2-eq,0.0
Industry,Food,non_energetic,co2,kton CO2-eq,0.0
Industry,Food,non_energetic,other_ghg,kton CO2-eq,0.0
Industry,Paper,non_energetic,co2,kton CO2-eq,0.0
Industry,Paper,non_energetic,other_ghg,kton CO2-eq,0.0
International transport,International aviation,energetic,other_ghg,kton CO2-eq,2.80813
International transport,International navigation,energetic,other_ghg,kton CO2-eq,5.8806
LULUCF,Emissions,non_energetic,co2,kton CO2-eq,0.0
LULUCF,Emissions,non_energetic,other_ghg,kton CO2-eq,152.3801
LULUCF,Removals,non_energetic,co2,kton CO2-eq,6035.06618
National transport,Non-specified,energetic,other_ghg,kton CO2-eq,70.94986
Other,Indirect emissions,non_energetic,co2,kton CO2-eq,41.69347
Other,Non-specified,energetic,other_ghg,kton CO2-eq,0.22195
Other,Other transportation,energetic,other_ghg,kton CO2-eq,1.85874
Waste,Non-specified,non_energetic,co2,kton CO2-eq,1.68071
Waste,Non-specified,non_energetic,other_ghg,kton CO2-eq,956.68015
