etm_sector,etm_subsector,use,ghg,year,unit,value
Agriculture,Non-specified,energetic,co2,1990,kton CO2-eq,1.7479
Agriculture,Non-specified,energetic,other_ghg,1990,kton CO2-eq,0.14466
Agriculture,Non-specified,energetic,other_ghg,2019,kton CO2-eq,1.15707
Agriculture,Non-specified,non_energetic,co2,1990,kton CO2-eq,0.0
Agriculture,Non-specified,non_energetic,co2,2019,kton CO2-eq,0.0
Agriculture,Non-specified,non_energetic,other_ghg,1990,kton CO2-eq,108.76981
Agriculture,Non-specified,non_energetic,other_ghg,2019,kton CO2-eq,86.41265
Buildings,Non-specified,energetic,co2,1990,kton CO2-eq,164.59605
Buildings,Non-specified,energetic,other_ghg,1990,kton CO2-eq,0.92967
Buildings,Non-specified,energetic,other_ghg,2019,kton CO2-eq,0.40812
Bunkers,International aviation,energetic,co2,1990,kton CO2-eq,196.95695
Bunkers,International aviation,energetic,other_ghg,1990,kton CO2-eq,1.20933
Bunkers,International aviation,energetic,other_ghg,2019,kton CO2-eq,3.76657
Bunkers,International navigation,energetic,co2,1990,kton CO2-eq,956.00059
Bunkers,International navigation,energetic,other_ghg,1990,kton CO2-eq,8.41968
Bunkers,International navigation,energetic,other_ghg,2019,kton CO2-eq,68.76701
Energy,CCUS,non_energetic,co2,1990,kton CO2-eq,0.0
Energy,CCUS,non_energetic,co2,2019,kton CO2-eq,0.0
Energy,Electricity and heat production,energetic,co2,1990,kton CO2-eq,1758.5151
Energy,Electricity and heat production,energetic,other_ghg,1990,kton CO2-eq,6.49581
Energy,Electricity and heat production,energetic,other_ghg,2019,kton CO2-eq,0.80519
Energy,Fuels production,energetic,co2,1990,kton CO2-eq,0.0
Energy,Fuels production,energetic,other_ghg,1990,kton CO2-eq,0.0
Energy,Fuels production,energetic,other_ghg,2019,kton CO2-eq,0.0
Energy,Fugitive emissions,non_energetic,co2,1990,kton CO2-eq,0.0
Energy,Fugitive emissions,non_energetic,co2,2019,kton CO2-eq,0.0
Energy,Fugitive emissions,non_energetic,other_ghg,1990,kton CO2-eq,0.0
Energy,Fugitive emissions,non_energetic,other_ghg,2019,kton CO2-eq,0.0
Energy,Hydrogen production,non_energetic,co2,1990,kton CO2-eq,0.0
Energy,Hydrogen production,non_energetic,other_ghg,1990,kton CO2-eq,0.0
Energy,Hydrogen production,non_energetic,other_ghg,2019,kton CO2-eq,0.0
Energy,Methanol production,non_energetic,co2,1990,kton CO2-eq,0.0
Energy,Methanol production,non_energetic,other_ghg,1990,kton CO2-eq,0.0
Energy,Methanol production,non_energetic,other_ghg,2019,kton CO2-eq,0.0
Households,Non-specified,energetic,co2,1990,kton CO2-eq,95.15697
Households,Non-specified,energetic,other_ghg,1990,kton CO2-eq,0.42578
Households,Non-specified,energetic,other_ghg,2019,kton CO2-eq,0.77465
Industry,Aluminium,non_energetic,co2,1990,kton CO2-eq,0.0
Industry,Aluminium,non_energetic,co2,2019,kton CO2-eq,0.0
Industry,Aluminium,non_energetic,other_ghg,1990,kton CO2-eq,0.0
Industry,Aluminium,non_energetic,other_ghg,2019,kton CO2-eq,0.0
