etm_sector,etm_subsector,use,ghg,year,unit,value
Agriculture,Non-specified,energetic,co2,1990,kton CO2-eq,261.78011
Agriculture,Non-specified,energetic,other_ghg,1990,kton CO2-eq,0.0
Agriculture,Non-specified,energetic,other_ghg,2023,kton CO2-eq,22.10988
Agriculture,Non-specified,non_energetic,co2,1990,kton CO2-eq,21.87271
Agriculture,Non-specified,non_energetic,co2,2023,kton CO2-eq,14.54267
Agriculture,Non-specified,non_energetic,other_ghg,1990,kton CO2-eq,0.0
Agriculture,Non-specified,non_energetic,other_ghg,2023,kton CO2-eq,2597.64405
Buildings,Non-specified,energetic,co2,1990,kton CO2-eq,268.1587
Buildings,Non-specified,energetic,other_ghg,1990,kton CO2-eq,1.6214
Buildings,Non-specified,energetic,other_ghg,2023,kton CO2-eq,1.09321
Bunkers,International aviation,energetic,co2,1990,kton CO2-eq,4604.35501
Bunkers,International aviation,energetic,other_ghg,1990,kton CO2-eq,35.03174
Bunkers,International aviation,energetic,other_ghg,2023,kton CO2-eq,77.41099
Bunkers,International navigation,energetic,co2,1990,kton CO2-eq,34944.30987
Bunkers,International navigation,energetic,other_ghg,1990,kton CO2-eq,328.83136
Bunkers,International navigation,energetic,other_ghg,2023,kton CO2-eq,474.73962
Energy,CCUS,non_energetic,co2,1990,kton CO2-eq,0.0
Energy,CCUS,non_energetic,co2,2023,kton CO2-eq,0.0
Energy,Electricity and heat production,energetic,co2,1990,kton CO2-eq,1675.67455
Energy,Electricity and heat production,energetic,other_ghg,1990,kton CO2-eq,2.56145
Energy,Electricity and heat production,energetic,other_ghg,2023,kton CO2-eq,3.68634
Energy,Fuels production,energetic,co2,1990,kton CO2-eq,0.0
Energy,Fuels production,energetic,other_ghg,1990,kton CO2-eq,0.0
Energy,Fuels production,energetic,other_ghg,2023,kton CO2-eq,0.03827
Energy,Fugitive emissions,non_energetic,co2,1990,kton CO2-eq,0.01232
Energy,Fugitive emissions,non_energetic,co2,2023,kton CO2-eq,1.57165
Energy,Fugitive emissions,non_energetic,other_ghg,1990,kton CO2-eq,11.71931
Energy,Fugitive emissions,non_energetic,other_ghg,2023,kton CO2-eq,12.09241
Energy,Hydrogen production,non_energetic,co2,1990,kton CO2-eq,0.0
Energy,Hydrogen production,non_energetic,other_ghg,1990,kton CO2-eq,0.0
Energy,Hydrogen production,non_energetic,other_ghg,2023,kton CO2-eq,0.0
Energy,Methanol production,non_energetic,co2,1990,kton CO2-eq,0.0
Energy,Methanol production,non_energetic,other_ghg,1990,kton CO2-eq,0.0
Energy,Methanol production,non_energetic,other_ghg,2023,kton CO2-eq,0.0
Households,Non-specified,energetic,co2,1990,kton CO2-eq,1027.45993
Households,Non-specified,energetic,other_ghg,1990,kton CO2-eq,23.49323
Households,Non-specified,energetic,other_ghg,2023,kton CO2-eq,15.19491
Industry,Aluminium,non_energetic,co2,1990,kton CO2-eq,0.0
Industry,Aluminium,non_energetic,co2,2023,kton CO2-eq,0.0
Industry,Aluminium,non_energetic,other_ghg,1990,kton CO2-eq,35.83956
Industry,Aluminium,non_energetic,other_ghg,2023,kton CO2-eq,0.0
Industry,Chemicals,non_energetic,co2,1990,kton CO2-eq,0.05902
Industry,Chemicals,non_energetic,co2,2023,kton CO2-eq,0.0
Industry,Chemicals,non_energetic,other_ghg,1990,kton CO2-eq,0.0
Industry,Chemicals,non_energetic,other_ghg,2023,kton CO2-eq,0.00111
Industry,Fertilizers,non_energetic,co2,1990,kton CO2-eq,0.0
Industry,Fertilizers,non_energetic,other_ghg,1990,kton CO2-eq,25.57637
Industry,Fertilizers,non_energetic,other_ghg,2023,kton CO2-eq,0.0
Industry,Food,non_energetic,co2,1990,kton CO2-eq,0.0
Industry,Food,non_energetic,co2,2023,kton CO2-eq,0.0
Industry,Food,non_energetic,other_ghg,1990,kton CO2-eq,0.00017
Industry,Food,non_energetic,other_ghg,2023,kton CO2-eq,0.0
Industry,Non-specified,energetic,co2,1990,kton CO2-eq,423.5949
Industry,Non-specified,energetic,other_ghg,1990,kton CO2-eq,3.26739
Industry,Non-specified,energetic,other_ghg,2023,kton CO2-eq,0.72442
Industry,Other,non_energetic,co2,1990,kton CO2-eq,16.80041
Industry,Other,non_energetic,co2,2023,kton CO2-eq,18.66387
Industry,Other,non_energetic,other_ghg,1990,kton CO2-eq,9.96838
Industry,Other,non_energetic,other_ghg,2023,kton CO2-eq,21.83087
