year,preset_demand
2010,455697.12626364594
2011,414817.35537596117
2012,412884.20988897677
2013,443739.14449182415
2014,395788.17293162615
2015,386766.56476922537
2016,376109.7194109045
2017,368721.8489309124
2018,368062.577539674
2019,363398.01860152424
2020,358566.9282571715
2021,350696.86593739665
2022,318739.9005946501
2023,280776.51446325117
2024,252703.0618470323
2025,228152.11120537322
2026,205346.51798978183
2027,185353.47715844557
2028,168611.79071553805
2029,152473.5372031416
2030,139159.8066077086
2031,127869.09827685947
2032,118484.89208200385
2033,110442.65497512715
2034,101631.94254520664
2035,93553.55496845936
2036,84392.65472243057
2037,76257.3451783011
2038,68122.03563417145
2039,59986.7260900418
2040,51851.41654591216
2041,43716.10700178251
2042,35580.797457652865
2043,27445.487913523386
2044,19310.17836939374
2045,11174.868825264055
2046,3039.5592811344245
2047,0.0
2048,0.0
2049,0.0
2050,0.0
