year,preset_demand
2010,64244.990341019016
2011,58481.68762424281
2012,58209.149339532974
2013,62559.13282919372
2014,55798.91968063614
2015,54527.03733631218
2016,53024.61634734385
2017,51983.06124358576
2018,51890.115991748215
2019,51232.49818673013
2020,50551.40248824648
2021,49441.867122371405
2022,44936.51738140066
2023,39584.37176810349
2024,35626.52654982014
2025,32165.289917128095
2026,28950.11687473939
2027,26131.462463577554
2028,23771.189769659606
2029,21495.99012219688
2030,19618.996732926167
2031,18027.212616124434
2032,16704.210557081766
2033,15570.401683877346
2034,14328.251794544376
2035,13189.34636388149
2036,11897.826374175314
2037,10750.895983437204
2038,9603.965592699067
2039,8457.03520196093
2040,7310.104811222796
2041,6163.17442048466
2042,5016.244029746525
2043,3869.313639008413
2044,2722.3832482702774
2045,1575.4528575321362
2046,428.52246679400304
2047,0.0
2048,0.0
2049,0.0
2050,0.0
