year,max_demand
2010,3817.385733077525
2011,3874.7882536924903
2012,3932.1907743074557
2013,3989.593294922421
2014,4046.9958155373865
2015,4104.3983361523515
2016,4205.029915502044
2017,4305.661494851735
2018,4406.293074201429
2019,4506.92465355112
2020,4607.556232900813
2021,4592.437873561891
2022,4577.319514222971
2023,4562.20115488405
2024,4547.082795545129
2025,4531.964436206208
2026,4565.035847260097
2027,4598.107258313987
2028,4631.178669367877
2029,4664.250080421766
2030,4697.321491475655
2031,4736.770960375652
2032,4776.220429275649
2033,4815.669898175645
2034,4855.119367075642
2035,4894.56883597564
2036,4916.537701890008
2037,4938.5065678043775
2038,4960.475433718747
2039,4982.444299633116
2040,5004.413165547486
2041,5054.25650649299
2042,5104.099847438495
2043,5153.943188384
2044,5203.786529329504
2045,5253.62987027501
2046,5334.89105172171
2047,5416.152233168409
2048,5497.413414615109
2049,5578.674596061809
2050,5659.935777508508
