year,max_demand
2010,1112.836088068203
2011,1129.5699475608128
2012,1146.3038070534226
2013,1163.0376665460324
2014,1179.7715260386422
2015,1196.505385531252
2016,1225.8412873578022
2017,1255.1771891843528
2018,1284.5130910109033
2019,1313.8489928374536
2020,1343.184894664004
2021,1338.7776230280901
2022,1334.3703513921764
2023,1329.963079756263
2024,1325.5558081203492
2025,1321.1485364844357
2026,1330.7894431879968
2027,1340.4303498915579
2028,1350.0712565951192
2029,1359.7121632986803
2030,1369.3530700022413
2031,1380.8532944272038
2032,1392.353518852166
2033,1403.8537432771282
2034,1415.3539677020906
2035,1426.8541921270528
2036,1433.2585087229895
2037,1439.6628253189267
2038,1446.0671419148637
2039,1452.4714585108009
2040,1458.875775106738
2041,1473.4059987813907
2042,1487.9362224560437
2043,1502.4664461306966
2044,1516.9966698053495
2045,1531.5268934800024
2046,1555.2159785230385
2047,1578.9050635660742
2048,1602.5941486091103
2049,1626.2832336521465
2050,1649.9723186951824
