year,preset_demand
2010,45546.12954937583
2011,41460.268056095156
2012,41267.053550860284
2013,44350.95021744964
2014,39558.334603201365
2015,38656.64067004568
2016,37591.50764351672
2017,36853.10292998545
2018,36787.20990924218
2019,36320.99541403653
2020,35838.1363964852
2021,35051.537453197714
2022,31857.494744524698
2023,28063.120799157085
2024,25257.228384955626
2025,22803.403872930077
2026,20524.024778389237
2027,18525.755368054695
2028,16852.45313361722
2029,15239.462963582615
2030,13908.778911530351
2031,12780.292391201605
2032,11842.357419845945
2033,11038.549908177147
2034,10157.9346340679
2035,9350.513946258414
2036,8434.898013334718
2037,7621.788074592594
2038,6808.678135850453
2039,5995.568197108312
2040,5182.458258366173
2041,4369.348319624032
2042,3556.238380881892
2043,2743.128442139769
2044,1930.0185033976286
2045,1116.9085646554847
2046,303.79862591334603
2047,0.0
2048,0.0
2049,0.0
2050,0.0
