etm_sector,etm_subsector,use,ghg,year,unit,value
Agriculture,Non-specified,energetic,co2,1990,kton CO2-eq,58.0175
Agriculture,Non-specified,energetic,other_ghg,1990,kton CO2-eq,0.95467
Agriculture,Non-specified,energetic,other_ghg,2019,kton CO2-eq,30.08369
Agriculture,Non-specified,non_energetic,co2,1990,kton CO2-eq,32.18084
Agriculture,Non-specified,non_energetic,co2,2019,kton CO2-eq,171.74351
Agriculture,Non-specified,non_energetic,other_ghg,1990,kton CO2-eq,6505.97519
Agriculture,Non-specified,non_energetic,other_ghg,2019,kton CO2-eq,5012.80378
Buildings,Non-specified,energetic,co2,1990,kton CO2-eq,1854.25839
Buildings,Non-specified,energetic,other_ghg,1990,kton CO2-eq,10.52605
Buildings,Non-specified,energetic,other_ghg,2019,kton CO2-eq,13.21957
Bunkers,International aviation,energetic,co2,1990,kton CO2-eq,430.43
Bunkers,International aviation,energetic,other_ghg,1990,kton CO2-eq,3.27488
Bunkers,International aviation,energetic,other_ghg,2019,kton CO2-eq,3.24517
Bunkers,International navigation,energetic,co2,1990,kton CO2-eq,0.0
Bunkers,International navigation,energetic,other_ghg,1990,kton CO2-eq,0.0
Bunkers,International navigation,energetic,other_ghg,2019,kton CO2-eq,0.0
Energy,CCUS,non_energetic,co2,1990,kton CO2-eq,0.0
Energy,CCUS,non_energetic,co2,2019,kton CO2-eq,0.0
Energy,Electricity and heat production,energetic,co2,1990,kton CO2-eq,41668.52764
Energy,Electricity and heat production,energetic,other_ghg,1990,kton CO2-eq,161.40659
Energy,Electricity and heat production,energetic,other_ghg,2019,kton CO2-eq,116.59567
Energy,Fuels production,energetic,co2,1990,kton CO2-eq,41.90418
Energy,Fuels production,energetic,other_ghg,1990,kton CO2-eq,0.17341
Energy,Fuels production,energetic,other_ghg,2019,kton CO2-eq,1.77034
Energy,Fugitive emissions,non_energetic,co2,1990,kton CO2-eq,1498.21167
Energy,Fugitive emissions,non_energetic,co2,2019,kton CO2-eq,32.62383
Energy,Fugitive emissions,non_energetic,other_ghg,1990,kton CO2-eq,2622.71445
Energy,Fugitive emissions,non_energetic,other_ghg,2019,kton CO2-eq,2311.63475
Energy,Hydrogen production,non_energetic,co2,1990,kton CO2-eq,0.0
Energy,Hydrogen production,non_energetic,other_ghg,1990,kton CO2-eq,0.0
Energy,Hydrogen production,non_energetic,other_ghg,2019,kton CO2-eq,0.0
Energy,Methanol production,non_energetic,co2,1990,kton CO2-eq,0.0
Energy,Methanol production,non_energetic,other_ghg,1990,kton CO2-eq,0.0
Energy,Methanol production,non_energetic,other_ghg,2019,kton CO2-eq,0.0
Households,Non-specified,energetic,co2,1990,kton CO2-eq,4676.5255
Households,Non-specified,energetic,other_ghg,1990,kton CO2-eq,485.97556
Households,Non-specified,energetic,other_ghg,2019,kton CO2-eq,352.72652
Industry,Aluminium,non_energetic,co2,1990,kton CO2-eq,0.0
Industry,Aluminium,non_energetic,co2,2019,kton CO2-eq,0.0
Industry,Aluminium,non_energetic,other_ghg,1990,kton CO2-eq,0.0
Industry,Aluminium,non_energetic,other_ghg,2019,kton CO2-eq,0.0
Industry,Chemicals,non_energetic,co2,1990,kton CO2-eq,453.35953
Industry,Chemicals,non_energetic,co2,2019,kton CO2-eq,6.26076
Industry,Chemicals,non_energetic,other_ghg,1990,kton CO2-eq,19.61473
Industry,Chemicals,non_energetic,other_ghg,2019,kton CO2-eq,0.0
Industry,Fertilizers,non_energetic,co2,1990,kton CO2-eq,334.86981
Industry,Fertilizers,non_energetic,other_ghg,1990,kton CO2-eq,563.44433
Industry,Fertilizers,non_energetic,other_ghg,2019,kton CO2-eq,0.0053
Industry,Food,non_energetic,co2,1990,kton CO2-eq,0.0
Industry,Food,non_energetic,co2,2019,kton CO2-eq,0.0
Industry,Food,non_energetic,other_ghg,1990,kton CO2-eq,0.0
Industry,Food,non_energetic,other_ghg,2019,kton CO2-eq,0.0
Industry,Non-specified,energetic,co2,1990,kton CO2-eq,7811.33731
Industry,Non-specified,energetic,other_ghg,1990,kton CO2-eq,21.52825
Industry,Non-specified,energetic,other_ghg,2019,kton CO2-eq,26.12201
Industry,Other,non_energetic,co2,1990,kton CO2-eq,2281.55411
Industry,Other,non_energetic,co2,2019,kton CO2-eq,1373.71701
Industry,Other,non_energetic,other_ghg,1990,kton CO2-eq,0.0
Industry,Other,non_energetic,other_ghg,2019,kton CO2-eq,228.19138
Industry,Other metals,non_energetic,co2,1990,kton CO2-eq,74.10444
Industry,Other metals,non_energetic,co2,2019,kton CO2-eq,15.62085
Industry,Other metals,non_energetic,other_ghg,1990,kton CO2-eq,136.018
Industry,Other metals,non_energetic,other_ghg,2019,kton CO2-eq,71.5575
Industry,Paper,non_energetic,co2,1990,kton CO2-eq,0.0
Industry,Paper,non_energetic,co2,2019,kton CO2-eq,0.0
Industry,Paper,non_energetic,other_ghg,1990,kton CO2-eq,0.0
Industry,Paper,non_energetic,other_ghg,2019,kton CO2-eq,0.0
Industry,Refineries,energetic,co2,1990,kton CO2-eq,838.92503
Industry,Refineries,energetic,other_ghg,1990,kton CO2-eq,1.7175
Industry,Refineries,energetic,other_ghg,2019,kton CO2-eq,0.86332
Industry,Refineries,non_energetic,co2,1990,kton CO2-eq,0.0
Industry,Refineries,non_energetic,other_ghg,1990,kton CO2-eq,0.0
Industry,Refineries,non_energetic,other_ghg,2019,kton CO2-eq,0.0
Industry,Steel,non_energetic,co2,1990,kton CO2-eq,1652.68
Industry,Steel,non_energetic,co2,2019,kton CO2-eq,3541.00078
Industry,Steel,non_energetic,other_ghg,1990,kton CO2-eq,0.0
Industry,Steel,non_energetic,other_ghg,2019,kton CO2-eq,0.00236
LULUCF,Emissions,non_energetic,co2,1990,kton CO2-eq,0.0
LULUCF,Emissions,non_energetic,co2,2019,kton CO2-eq,0.0
LULUCF,Emissions,non_energetic,other_ghg,1990,kton CO2-eq,39.0129
LULUCF,Emissions,non_energetic,other_ghg,2019,kton CO2-eq,21.8593
LULUCF,Removals,non_energetic,co2,1990,kton CO2-eq,1450.85943
LULUCF,Removals,non_energetic,co2,2019,kton CO2-eq,5118.79222
Other,Indirect emissions,non_energetic,co2,1990,kton CO2-eq,0.0
Other,Indirect emissions,non_energetic,co2,2019,kton CO2-eq,0.0
Other,Non-specified,energetic,co2,1990,kton CO2-eq,0.0
Other,Non-specified,energetic,other_ghg,1990,kton CO2-eq,0.0
Other,Non-specified,energetic,other_ghg,2019,kton CO2-eq,0.0
Other,Other transportation,energetic,co2,1990,kton CO2-eq,0.0
Other,Other transportation,energetic,other_ghg,1990,kton CO2-eq,0.0
Other,Other transportation,energetic,other_ghg,2019,kton CO2-eq,0.0
Transport,Non-specified,energetic,co2,1990,kton CO2-eq,4470.97834
Transport,Non-specified,energetic,other_ghg,1990,kton CO2-eq,88.95529
Transport,Non-specified,energetic,other_ghg,2019,kton CO2-eq,127.83217
Waste,Non-specified,non_energetic,co2,1990,kton CO2-eq,0.0
Waste,Non-specified,non_energetic,co2,2019,kton CO2-eq,0.0
Waste,Non-specified,non_energetic,other_ghg,1990,kton CO2-eq,4300.39099
Waste,Non-specified,non_energetic,other_ghg,2019,kton CO2-eq,3069.96678
