year,max_demand
2010,146.72053780701697
2011,148.92679341884278
2012,151.1330490306686
2013,153.33930464249443
2014,155.54556025432024
2015,157.75181586614602
2016,161.6195726177419
2017,165.48732936933777
2018,169.35508612093366
2019,173.2228428725295
2020,177.0905996241254
2021,176.50952818726591
2022,175.9284567504064
2023,175.34738531354697
2024,174.76631387668746
2025,174.18524243982802
2026,175.45633620795812
2027,176.72742997608822
2028,177.99852374421832
2029,179.26961751234842
2030,180.54071128047852
2031,182.0569445610337
2032,183.5731778415889
2033,185.08941112214407
2034,186.60564440269926
2035,188.12187768325447
2036,188.96624711494084
2037,189.8106165466273
2038,190.65498597831368
2039,191.49935541000013
2040,192.34372484168657
2041,194.25944473508264
2042,196.1751646284787
2043,198.09088452187478
2044,200.00660441527086
2045,201.92232430866693
2046,205.0455832817866
2047,208.16884225490625
2048,211.29210122802593
2049,214.4153602011456
2050,217.53861917426525
