key,share
industry_final_demand_for_other_minerals_network_gas,2.57999384705906E-01
industry_final_demand_for_other_transport_equipment_network_gas,4.97020624023414E-02
industry_final_demand_for_other_machinery_network_gas,7.46409021604941E-02
industry_final_demand_for_other_mining_network_gas,0.00000000000000E+00
industry_final_demand_for_other_food_network_gas,3.93592277161279E-01
industry_final_demand_for_other_paper_network_gas,4.97187048609637E-02
industry_final_demand_for_other_wood_products_network_gas,1.05011046167754E-02
industry_final_demand_for_other_construction_network_gas,3.05180787842824E-02
industry_final_demand_for_other_textile_network_gas,5.13839948876529E-02
industry_final_demand_for_other_non_specified_network_gas,8.19434904203056E-02
