year,max_demand
2.01000000000000E+03,8.06812272507703E+04
2.01100000000000E+03,8.15503593670656E+04
2.01200000000000E+03,8.24194914833609E+04
2.01300000000000E+03,8.32886235996562E+04
2.01400000000000E+03,8.41577557159515E+04
2.01500000000000E+03,8.50268878322468E+04
2.01600000000000E+03,9.06601211880593E+04
2.01700000000000E+03,9.62933545438718E+04
2.01800000000000E+03,1.01926587899684E+05
2.01900000000000E+03,1.07559821255497E+05
2.02000000000000E+03,1.13193054611309E+05
2.02100000000000E+03,1.12936602993565E+05
2.02200000000000E+03,1.12680151375821E+05
2.02300000000000E+03,1.12423699758077E+05
2.02400000000000E+03,1.12167248140333E+05
2.02500000000000E+03,1.11910796522589E+05
2.02600000000000E+03,1.12735268222801E+05
2.02700000000000E+03,1.13559739923013E+05
2.02800000000000E+03,1.14384211623225E+05
2.02900000000000E+03,1.15208683323437E+05
2.03000000000000E+03,1.16033155023649E+05
2.03100000000000E+03,1.12515914626153E+05
2.03200000000000E+03,1.08998674228656E+05
2.03300000000000E+03,1.05481433831160E+05
2.03400000000000E+03,1.01964193433663E+05
2.03500000000000E+03,9.84469530361668E+04
2.03600000000000E+03,1.00514568874613E+05
2.03700000000000E+03,1.02582184713060E+05
2.03800000000000E+03,1.04649800551507E+05
2.03900000000000E+03,1.06717416389953E+05
2.04000000000000E+03,1.08785032228400E+05
2.04100000000000E+03,1.09853179017144E+05
2.04200000000000E+03,1.10921325805888E+05
2.04300000000000E+03,1.11989472594633E+05
2.04400000000000E+03,1.13057619383377E+05
2.04500000000000E+03,1.14125766172121E+05
2.04600000000000E+03,1.14585987706274E+05
2.04700000000000E+03,1.15046209240427E+05
2.04800000000000E+03,1.15506430774581E+05
2.04900000000000E+03,1.15966652308734E+05
2.05000000000000E+03,1.16426873842887E+05
