key,share
industry_final_demand_for_other_minerals_network_gas,1.70169348939317E-01
industry_final_demand_for_other_transport_equipment_network_gas,0.00000000000000E+00
industry_final_demand_for_other_machinery_network_gas,0.00000000000000E+00
industry_final_demand_for_other_mining_network_gas,7.78800918161348E-02
industry_final_demand_for_other_food_network_gas,8.45376209653563E-02
industry_final_demand_for_other_paper_network_gas,9.94241589413030E-02
industry_final_demand_for_other_wood_products_network_gas,0.00000000000000E+00
industry_final_demand_for_other_construction_network_gas,0.00000000000000E+00
industry_final_demand_for_other_textile_network_gas,3.84068913415481E-02
industry_final_demand_for_other_non_specified_network_gas,5.29581887996341E-01
