key,share
industry_final_demand_for_other_minerals_crude_oil,3.44088740061914E-01
industry_final_demand_for_other_transport_equipment_crude_oil,3.63086648665106E-02
industry_final_demand_for_other_machinery_crude_oil,1.94902961560207E-01
industry_final_demand_for_other_mining_crude_oil,2.43726797948930E-02
industry_final_demand_for_other_food_crude_oil,1.52260408553774E-01
industry_final_demand_for_other_paper_crude_oil,4.25976808821032E-02
industry_final_demand_for_other_wood_products_crude_oil,1.09626355553272E-02
industry_final_demand_for_other_construction_crude_oil,0.00000000000000E+00
industry_final_demand_for_other_textile_crude_oil,1.84906756911692E-02
industry_final_demand_for_other_non_specified_crude_oil,1.76015553034101E-01
