key,share
industry_final_demand_for_other_minerals_electricity,8.60328762829177E-02
industry_final_demand_for_other_transport_equipment_electricity,1.25737683404030E-01
industry_final_demand_for_other_machinery_electricity,2.55484373349703E-01
industry_final_demand_for_other_mining_electricity,1.26158271317687E-02
industry_final_demand_for_other_food_electricity,1.26025030966459E-01
industry_final_demand_for_other_paper_electricity,1.66318567732990E-01
industry_final_demand_for_other_wood_products_electricity,3.03620793405512E-02
industry_final_demand_for_other_construction_electricity,0.00000000000000E+00
industry_final_demand_for_other_textile_electricity,1.66949284147964E-02
industry_final_demand_for_other_non_specified_electricity,1.80728633376784E-01
